#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 none
# number of wavelengths
          38
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.960633514E+00     0.000000000E+00     0.000000000E+00
      1     0.275289742E+01     0.000000000E+00     0.000000000E+00     0.275366695E+01     0.000000000E+00     0.000000000E+00
      2     0.422230569E+01     0.465001505E+01     0.459018627E+01     0.422600849E+01    -0.708207156E-01     0.146701279E-01
      3     0.546361984E+01     0.575288651E+01     0.571555143E+01     0.546465145E+01    -0.644290549E-01     0.729244557E-02
      4     0.653854106E+01     0.676827219E+01     0.674566516E+01     0.653863489E+01    -0.546784121E-01     0.713276730E-03
      5     0.748630532E+01     0.767393270E+01     0.765972412E+01     0.748612486E+01    -0.463576465E-01    -0.452762949E-02
      6     0.833679040E+01     0.849495302E+01     0.848515769E+01     0.833595397E+01    -0.417478879E-01    -0.506146613E-02
      7     0.910574906E+01     0.924192725E+01     0.923550090E+01     0.910530440E+01    -0.398330995E-01    -0.485378550E-02
      8     0.979705851E+01     0.992039308E+01     0.991533584E+01     0.979637081E+01    -0.396289351E-01    -0.403832519E-02
# lambda =      8.8496
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.961421256E+00     0.000000000E+00     0.000000000E+00
      1     0.275329398E+01     0.000000000E+00     0.000000000E+00     0.275408668E+01     0.000000000E+00     0.000000000E+00
      2     0.421984749E+01     0.464995666E+01     0.459133718E+01     0.422376276E+01    -0.707512905E-01     0.145403576E-01
      3     0.545632189E+01     0.574790756E+01     0.571106256E+01     0.545727439E+01    -0.645625519E-01     0.742854966E-02
      4     0.652441279E+01     0.675593484E+01     0.673391522E+01     0.652465028E+01    -0.549162531E-01     0.746761741E-03
      5     0.746360062E+01     0.765316540E+01     0.763928365E+01     0.746352486E+01    -0.467982219E-01    -0.455373898E-02
      6     0.830397170E+01     0.846383614E+01     0.845431285E+01     0.830324527E+01    -0.421447241E-01    -0.516317516E-02
      7     0.906210550E+01     0.919968237E+01     0.919343496E+01     0.906166262E+01    -0.400788572E-01    -0.484807406E-02
      8     0.974214303E+01     0.986653476E+01     0.986169201E+01     0.974143823E+01    -0.398289267E-01    -0.404404219E-02
# lambda =      9.0090
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.962315411E+00     0.000000000E+00     0.000000000E+00
      1     0.275436113E+01     0.000000000E+00     0.000000000E+00     0.275516911E+01     0.000000000E+00     0.000000000E+00
      2     0.421883826E+01     0.465080727E+01     0.459355956E+01     0.422307335E+01    -0.707053859E-01     0.143124066E-01
      3     0.545124487E+01     0.574516191E+01     0.570880892E+01     0.545223954E+01    -0.648196006E-01     0.756002523E-02
      4     0.651335277E+01     0.674661721E+01     0.672518666E+01     0.651391321E+01    -0.552715142E-01     0.808241877E-03
      5     0.744482217E+01     0.763632679E+01     0.762274234E+01     0.744507428E+01    -0.473336689E-01    -0.454369451E-02
      6     0.827576659E+01     0.843740644E+01     0.842808744E+01     0.827540958E+01    -0.425887607E-01    -0.524328795E-02
      7     0.902358649E+01     0.916267629E+01     0.915651360E+01     0.902343801E+01    -0.403457961E-01    -0.482963988E-02
      8     0.969275450E+01     0.981834544E+01     0.981362041E+01     0.969236272E+01    -0.400686987E-01    -0.404520663E-02
# lambda =      9.1743
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.963434049E+00     0.000000000E+00     0.000000000E+00
