#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 none
# number of wavelengths
          38
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
      3     0.506480968E+01     0.554127171E+01     0.552625812E+01     0.506138431E+01     0.281664021E-01     0.541428185E-01
      4     0.554875094E+01     0.600659507E+01     0.599370834E+01     0.554811856E+01     0.321895462E-01     0.938206407E-01
      5     0.566587280E+01     0.608195797E+01     0.606954157E+01     0.566783507E+01     0.298738790E-01     0.132838555E+00
      6     0.548493615E+01     0.586382974E+01     0.585150467E+01     0.548932305E+01     0.341521220E-01     0.169413312E+00
      7     0.508174183E+01     0.541289007E+01     0.540027982E+01     0.508790877E+01     0.377876691E-01     0.197248724E+00
      8     0.452777186E+01     0.481604314E+01     0.480248389E+01     0.453406416E+01     0.434192311E-01     0.214472672E+00
# lambda =     10.5263
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.983818005E+00     0.000000000E+00     0.000000000E+00
      1     0.278841990E+01     0.000000000E+00     0.000000000E+00     0.278575219E+01     0.000000000E+00     0.000000000E+00
      2     0.416667005E+01     0.468257183E+01     0.465691795E+01     0.416122815E+01     0.404516456E-01     0.219533562E-01
      3     0.507891665E+01     0.556096289E+01     0.554493027E+01     0.507562399E+01     0.395502772E-01     0.561250658E-01
      4     0.555442978E+01     0.601838219E+01     0.600505362E+01     0.555411094E+01     0.465291748E-01     0.967328726E-01
      5     0.565256011E+01     0.607776424E+01     0.606497646E+01     0.565483708E+01     0.492341557E-01     0.136136153E+00
      6     0.544487971E+01     0.583109637E+01     0.581844082E+01     0.544951936E+01     0.560193938E-01     0.172146831E+00
      7     0.501113601E+01     0.534907700E+01     0.533618043E+01     0.501744879E+01     0.620279950E-01     0.198831550E+00
      8     0.442854228E+01     0.472028708E+01     0.470653729E+01     0.443491077E+01     0.680818310E-01     0.213935759E+00
# lambda =     10.7527
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.982377726E+00     0.000000000E+00     0.000000000E+00
      1     0.279251617E+01     0.000000000E+00     0.000000000E+00     0.278890972E+01     0.000000000E+00     0.000000000E+00
      2     0.417563105E+01     0.468669661E+01     0.465945846E+01     0.417039267E+01     0.473402593E-01     0.251599499E-01
      3     0.508635365E+01     0.557533945E+01     0.555699754E+01     0.508305783E+01     0.549558635E-01     0.599999380E-01
      4     0.555077377E+01     0.602171572E+01     0.600664790E+01     0.555074841E+01     0.664421699E-01     0.101995599E+00
      5     0.562795963E+01     0.606268958E+01     0.604840703E+01     0.563085469E+01     0.755315619E-01     0.142577213E+00
      6     0.539261561E+01     0.578660092E+01     0.577243072E+01     0.539794766E+01     0.861117657E-01     0.178408543E+00
      7     0.492852725E+01     0.527341455E+01     0.525903138E+01     0.493551318E+01     0.949902246E-01     0.204162685E+00
      8     0.431855157E+01     0.461401688E+01     0.459886828E+01     0.432554063E+01     0.101520189E+00     0.217175282E+00
# lambda =     10.9890
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.980003814E+00     0.000000000E+00     0.000000000E+00
      1     0.279293539E+01     0.000000000E+00     0.000000000E+00     0.278804626E+01     0.000000000E+00     0.000000000E+00
      2     0.417515874E+01     0.468589834E+01     0.465573096E+01     0.416967069E+01     0.556395483E-01     0.277930380E-01
      3     0.507711699E+01     0.557485981E+01     0.555336500E+01     0.507376196E+01     0.723603098E-01     0.640541317E-01
      4     0.552348529E+01     0.600295212E+01     0.598518616E+01     0.552384668E+01     0.898766625E-01     0.107452023E+00
      5     0.557444788E+01     0.601876840E+01     0.600206148E+01     0.557825159E+01     0.105756215E+00     0.149310691E+00
      6     0.530853927E+01     0.571017067E+01     0.569355032E+01     0.531500224E+01     0.120875452E+00     0.185035929E+00
      7     0.481404855E+01     0.516497843E+01     0.514811821E+01     0.482216688E+01     0.132499064E+00     0.209700416E+00
      8     0.417905119E+01     0.447744545E+01     0.445988517E+01     0.418706349E+01     0.139112403E+00     0.220515968E+00
# lambda =     11.2360
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.976270497E+00     0.000000000E+00     0.000000000E+00
      1     0.278846144E+01     0.000000000E+00     0.000000000E+00     0.278179899E+01     0.000000000E+00     0.000000000E+00
      2     0.416195218E+01     0.467849119E+01     0.464343151E+01     0.415557692E+01     0.657479945E-01     0.298142073E-01
      3     0.504616622E+01     0.555468808E+01     0.552878420E+01     0.504263101E+01     0.915726732E-01     0.683965217E-01
      4     0.546677668E+01     0.595599919E+01     0.593420736E+01     0.546772793E+01     0.116167405E+00     0.113833699E+00
      5     0.548664179E+01     0.594025918E+01     0.591977174E+01     0.549184828E+01     0.138937941E+00     0.157493487E+00
      6     0.518869620E+01     0.559737987E+01     0.557690752E+01     0.519697636E+01     0.158830547E+00     0.193638790E+00
      7     0.466579401E+01     0.502158744E+01     0.500077158E+01     0.467574992E+01     0.172789086E+00     0.217432595E+00
      8     0.401040785E+01     0.431070962E+01     0.428921232E+01     0.402001912E+01     0.178801876E+00     0.226145188E+00
# lambda =     11.4943
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.971766616E+00     0.000000000E+00     0.000000000E+00
      1     0.278050360E+01     0.000000000E+00     0.000000000E+00     0.277187530E+01     0.000000000E+00     0.000000000E+00
      2     0.413920458E+01     0.466643018E+01     0.462530333E+01     0.413163582E+01     0.770969983E-01     0.305938064E-01
      3     0.499868854E+01     0.551964063E+01     0.548863138E+01     0.499499542E+01     0.111609908E+00     0.714044833E-01
      4     0.538732885E+01     0.588730224E+01     0.586077165E+01     0.538916042E+01     0.143664604E+00     0.118872833E+00
      5     0.537194006E+01     0.583472786E+01     0.580965573E+01     0.537896964E+01     0.173054234E+00     0.164164785E+00
      6     0.504048832E+01     0.545565283E+01     0.543048560E+01     0.505105886E+01     0.197315722E+00     0.200646479E+00
      7     0.449060758E+01     0.485015242E+01     0.482449321E+01     0.450279122E+01     0.212784270E+00     0.223396084E+00
      8     0.381863497E+01     0.411967051E+01     0.409334410E+01     0.383005586E+01     0.217189870E+00     0.229884882E+00
# lambda =     11.7647
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.964638621E+00     0.000000000E+00     0.000000000E+00
      1     0.276560420E+01     0.000000000E+00     0.000000000E+00     0.275421307E+01     0.000000000E+00     0.000000000E+00
      2     0.409978987E+01     0.464514254E+01     0.459409554E+01     0.409016601E+01     0.902500943E-01     0.322685367E-01
      3     0.492567916E+01     0.546039559E+01     0.542160544E+01     0.492167374E+01     0.131392449E+00     0.778090625E-01
      4     0.527771527E+01     0.578806463E+01     0.575431110E+01     0.528096904E+01     0.169411642E+00     0.130427425E+00
      5     0.522750553E+01     0.569807548E+01     0.566588807E+01     0.523740913E+01     0.203815090E+00     0.180205947E+00
      6     0.486736330E+01     0.528770731E+01     0.525519016E+01     0.488147979E+01     0.231164278E+00     0.219383302E+00
      7     0.429827039E+01     0.466046849E+01     0.462723815E+01     0.431387697E+01     0.247088146E+00     0.242558880E+00
      8     0.361862887E+01     0.391985434E+01     0.388595679E+01     0.363274108E+01     0.249225646E+00     0.247288191E+00
# lambda =     12.0482
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.956421665E+00     0.000000000E+00     0.000000000E+00
      1     0.274845656E+01     0.000000000E+00     0.000000000E+00     0.273411978E+01     0.000000000E+00     0.000000000E+00
