#  
#  ARTDECO flux output for each k-dis band 
#  
# number of wavelengths
  38
# number of solar zenith angles
   1
# number of sampled altitudes 
  50
##################
# Wavelength (microns) 
       8.000000000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
      19.000000000      62.800000000       0.037304262       1.285053484       0.035371699
      18.000000000      73.600000000       0.037485631       1.285383079       0.035354226
      17.000000000      86.100000000       0.037697921       1.285757883       0.035334167
      16.000000000     100.700000000       0.037947359       1.286185976       0.035311045
      15.000000000     117.800000000       0.038242183       1.286678154       0.035284225
      14.000000000     137.800000000       0.038592664       1.287247807       0.035252928
      13.000000000     161.100000000       0.039010168       1.287908985       0.035216319
      12.000000000     188.200000000       0.039507504       1.288675825       0.035173478
      11.000000000     219.900000000       0.040107805       1.289572091       0.035122648
      10.000000000     256.800000000       0.040887420       1.290669848       0.035057689
       9.000000000     299.300000000       0.042163375       1.292018336       0.034964317
       8.000000000     347.300000000       0.350371504       1.835059599       0.005036321
       7.000000000     401.600000000       0.385185795       1.918885407       0.004078374
       6.000000000     462.700000000       0.392266122       1.927353497       0.004022145
       5.000000000     531.300000000       0.407843501       1.939673911       0.003937420
       4.000000000     608.100000000       0.436929931       1.955924728       0.003821467
       3.000000000     693.800000000       0.490365343       1.975181989       0.003654750
       2.000000000     789.700000000       0.570991044       1.991984832       0.003435645
       1.000000000     897.300000000       0.678295029       2.001173235       0.003175253
       0.000000000    1018.000000000       2.186911155       2.215205415       0.000000000
# Wavelength (microns) 
       8.403361000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
     120.000000000       0.000040000       0.034364805       1.364057029       0.034364805
     115.000000000       0.000060000       0.034364805       1.364057029       0.034364805
     110.000000000       0.000110000       0.034364805       1.364057029       0.034364805
     105.000000000       0.000200000       0.034364805       1.364057029       0.034364805
     100.000000000       0.000410000       0.034364805       1.364057029       0.034364805
      95.000000000       0.000880000       0.034364805       1.364057029       0.034364805
      90.000000000       0.001980000       0.034364805       1.364057029       0.034364805
      85.000000000       0.004560000       0.034364805       1.364057029       0.034364805
      80.000000000       0.010300000       0.034364805       1.364057029       0.034364805
      75.000000000       0.022200000       0.034364805       1.364057029       0.034364805
      70.000000000       0.047000000       0.034364805       1.364057029       0.034364805
      65.000000000       0.095000000       0.034368264       1.364057941       0.034364667
      60.000000000       0.188000000       0.034379345       1.364057153       0.034364340
      55.000000000       0.362000000       0.034413562       1.364047243       0.034363575
      50.000000000       0.683000000       0.034503573       1.364010304       0.034361907
      47.500000000       0.940000000       0.034585834       1.363974085       0.034360464
      45.000000000       1.290000000       0.034697660       1.363930792       0.034358322
      42.500000000       1.800000000       0.034836177       1.363894858       0.034355124
      40.000000000       2.530000000       0.035003762       1.363881319       0.034350331
      37.500000000       3.600000000       0.035197832       1.363911816       0.034343351
      35.000000000       5.180000000       0.035412958       1.364015499       0.034333446
      32.500000000       7.560000000       0.035644982       1.364231352       0.034319534
      30.000000000      11.100000000       0.035911346       1.364595964       0.034299951
      27.500000000      16.460000000       0.036251453       1.365146096       0.034272342
      25.000000000      24.400000000       0.036711719       1.365950736       0.034233172
      24.000000000      28.600000000       0.036939436       1.366354642       0.034213636
      23.000000000      33.400000000       0.037195439       1.366810101       0.034191644
      22.000000000      39.100000000       0.037482583       1.367322738       0.034166941
      21.000000000      45.800000000       0.037804555       1.367899837       0.034139195
      20.000000000      53.700000000       0.038161065       1.368541494       0.034108415
      19.000000000      62.800000000       0.038549991       1.369244575       0.034074764
      18.000000000      73.600000000       0.038979497       1.370012419       0.034037902
      17.000000000      86.100000000       0.039462732       1.370853845       0.033997179
      16.000000000     100.700000000       0.040010937       1.371784631       0.033951801
      15.000000000     117.800000000       0.040639738       1.372827053       0.033900658
      14.000000000     137.800000000       0.041369975       1.374010841       0.033842284
      13.000000000     161.100000000       0.042222615       1.375364255       0.033775272
      12.000000000     188.200000000       0.043211323       1.376901733       0.033698835
      11.000000000     219.900000000       0.044359350       1.378647207       0.033611492
      10.000000000     256.800000000       0.045746897       1.380680146       0.033507556
       9.000000000     299.300000000       0.047731975       1.382914364       0.033377231
       8.000000000     347.300000000       0.377181038       1.954844374       0.004795064
       7.000000000     401.600000000       0.414507676       2.043730999       0.003880444
       6.000000000     462.700000000       0.421657868       2.052728085       0.003829955
       5.000000000     531.300000000       0.436384351       2.064660419       0.003758741
       4.000000000     608.100000000       0.462868713       2.079527538       0.003664263
       3.000000000     693.800000000       0.510317549       2.096487916       0.003531507
       2.000000000     789.700000000       0.581686986       2.110839327       0.003355430
       1.000000000     897.300000000       0.678663905       2.118276597       0.003137961
       0.000000000    1018.000000000       2.312453078       2.342546380       0.000000000
# Wavelength (microns) 
       8.547009000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
     120.000000000       0.000040000       0.033267955       1.446583415       0.033267955
     115.000000000       0.000060000       0.033267955       1.446583415       0.033267955
     110.000000000       0.000110000       0.033267955       1.446583415       0.033267955
     105.000000000       0.000200000       0.033267955       1.446583415       0.033267955
     100.000000000       0.000410000       0.033267955       1.446583415       0.033267955
      95.000000000       0.000880000       0.033267955       1.446583415       0.033267955
      90.000000000       0.001980000       0.033267955       1.446583415       0.033267955
      85.000000000       0.004560000       0.033267955       1.446583415       0.033267955
      80.000000000       0.010300000       0.033267955       1.446583415       0.033267955
      75.000000000       0.022200000       0.033267955       1.446583415       0.033267955
      70.000000000       0.047000000       0.033267955       1.446583415       0.033267955
      65.000000000       0.095000000       0.033271449       1.446584280       0.033267830
      60.000000000       0.188000000       0.033282331       1.446583427       0.033267540
      55.000000000       0.362000000       0.033321679       1.446572087       0.033266740
      50.000000000       0.683000000       0.033434571       1.446526146       0.033264834
      47.500000000       0.940000000       0.033545907       1.446477532       0.033263052
      45.000000000       1.290000000       0.033709994       1.446414443       0.033260189
      42.500000000       1.800000000       0.033934007       1.446356333       0.033255492
      40.000000000       2.530000000       0.034230402       1.446331025       0.033247822
      37.500000000       3.600000000       0.034595379       1.446384208       0.033235991
      35.000000000       5.180000000       0.035023336       1.446581798       0.033218299
      32.500000000       7.560000000       0.035506790       1.447015688       0.033192366
      30.000000000      11.100000000       0.036072971       1.447766021       0.033155203
      27.500000000      16.460000000       0.036800936       1.448912360       0.033102432
      25.000000000      24.400000000       0.037771675       1.450576126       0.033028553
      24.000000000      28.600000000       0.038241068       1.451396926       0.032992494
      23.000000000      33.400000000       0.038756400       1.452303860       0.032952827
      22.000000000      39.100000000       0.039319619       1.453301744       0.032909385
      21.000000000      45.800000000       0.039933474       1.454396945       0.032861939
      20.000000000      53.700000000       0.040586591       1.455569856       0.032811356
      19.000000000      62.800000000       0.041261315       1.456788394       0.032759008
      18.000000000      73.600000000       0.041963008       1.458041562       0.032705047
      17.000000000      86.100000000       0.042707231       1.459334816       0.032648901
      16.000000000     100.700000000       0.043507564       1.460688782       0.032589648
      15.000000000     117.800000000       0.044386684       1.462138490       0.032525749
      14.000000000     137.800000000       0.045379076       1.463736709       0.032454895
      13.000000000     161.100000000       0.046514534       1.465525281       0.032375231
      12.000000000     188.200000000       0.047791118       1.467492219       0.032287182
      11.000000000     219.900000000       0.049214542       1.469632844       0.032190623
      10.000000000     256.800000000       0.050869908       1.472029814       0.032080109
       9.000000000     299.300000000       0.053133073       1.474546950       0.031947520
       8.000000000     347.300000000       0.405797138       2.074501861       0.004543815
       7.000000000     401.600000000       0.445603249       2.167376177       0.003673777
       6.000000000     462.700000000       0.452894834       2.176485332       0.003628726
       5.000000000     531.300000000       0.467394038       2.188439347       0.003567336
       4.000000000     608.100000000       0.493404831       2.203277654       0.003482651
       3.000000000     693.800000000       0.541651914       2.220289173       0.003355525
       2.000000000     789.700000000       0.615881261       2.234894145       0.003188771
       1.000000000     897.300000000       0.714986367       2.242428754       0.002992369
       0.000000000    1018.000000000       2.443411812       2.475157885       0.000000000
# Wavelength (microns) 
       8.695652000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
     120.000000000       0.000040000       0.032171966       1.544812363       0.032171966
     115.000000000       0.000060000       0.032171966       1.544812363       0.032171966
     110.000000000       0.000110000       0.032171966       1.544812363       0.032171966
     105.000000000       0.000200000       0.032171966       1.544812363       0.032171966
     100.000000000       0.000410000       0.032171966       1.544812363       0.032171966
      95.000000000       0.000880000       0.032171966       1.544812363       0.032171966
      90.000000000       0.001980000       0.032171966       1.544812363       0.032171966
      85.000000000       0.004560000       0.032171966       1.544812363       0.032171966
      80.000000000       0.010300000       0.032171966       1.544812363       0.032171966
      75.000000000       0.022200000       0.032171966       1.544812363       0.032171966
      70.000000000       0.047000000       0.032171966       1.544812363       0.032171966
      65.000000000       0.095000000       0.032176205       1.544813416       0.032171829
      60.000000000       0.188000000       0.032193649       1.544812277       0.032171410
      55.000000000       0.362000000       0.032248544       1.544796809       0.032170396
      50.000000000       0.683000000       0.032412627       1.544730954       0.032167871
      47.500000000       0.940000000       0.032578854       1.544659091       0.032165444
      45.000000000       1.290000000       0.032828570       1.544563646       0.032161473
      42.500000000       1.800000000       0.033174760       1.544473303       0.032154880
      40.000000000       2.530000000       0.033636652       1.544430536       0.032144062
      37.500000000       3.600000000       0.034221863       1.544507659       0.032126953
      35.000000000       5.180000000       0.034923475       1.544814233       0.032100880
      32.500000000       7.560000000       0.035749777       1.545524485       0.032061147
      30.000000000      11.100000000       0.036751363       1.546805233       0.032002260
      27.500000000      16.460000000       0.038061681       1.548813553       0.031917039
      25.000000000      24.400000000       0.039800425       1.551746802       0.031797984
      24.000000000      28.600000000       0.040630178       1.553187675       0.031740512
      23.000000000      33.400000000       0.041529983       1.554769100       0.031677992
      22.000000000      39.100000000       0.042500119       1.556495328       0.031610378
      21.000000000      45.800000000       0.043541610       1.558371930       0.031537574
      20.000000000      53.700000000       0.044626410       1.560349824       0.031461545
      19.000000000      62.800000000       0.045713997       1.562352637       0.031385180
      18.000000000      73.600000000       0.046806430       1.564347580       0.031309197
      17.000000000      86.100000000       0.047923804       1.566335556       0.031233043
      16.000000000     100.700000000       0.049083571       1.568344897       0.031155579
      15.000000000     117.800000000       0.050318797       1.570430549       0.031074685
      14.000000000     137.800000000       0.051683825       1.572681441       0.030986967
      13.000000000     161.100000000       0.053220907       1.575161254       0.030889987
      12.000000000     188.200000000       0.054902633       1.577816433       0.030785785
      11.000000000     219.900000000       0.056697012       1.580589971       0.030676563
      10.000000000     256.800000000       0.058630373       1.583519114       0.030560899
       9.000000000     299.300000000       0.061014446       1.586406651       0.030436123
       8.000000000     347.300000000       0.436793212       2.226957303       0.004372766
       7.000000000     401.600000000       0.478127366       2.325500696       0.003547590
       6.000000000     462.700000000       0.482130448       2.332704295       0.003522824
       5.000000000     531.300000000       0.489768325       2.340644411       0.003488773
       4.000000000     608.100000000       0.503880062       2.349189964       0.003441027
       3.000000000     693.800000000       0.530433964       2.357802642       0.003371250
       2.000000000     789.700000000       0.573756081       2.364611403       0.003276230
       1.000000000     897.300000000       0.635973474       2.366426052       0.003154929
       0.000000000    1018.000000000       2.578615856       2.613043773       0.000000000
# Wavelength (microns) 
       8.849558000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
     120.000000000       0.000040000       0.031088609       1.631508260       0.031088609
     115.000000000       0.000060000       0.031088609       1.631508260       0.031088609
     110.000000000       0.000110000       0.031088609       1.631508260       0.031088609
     105.000000000       0.000200000       0.031088609       1.631508260       0.031088609
     100.000000000       0.000410000       0.031088609       1.631508260       0.031088609
      95.000000000       0.000880000       0.031088609       1.631508260       0.031088609
      90.000000000       0.001980000       0.031088609       1.631508260       0.031088609
      85.000000000       0.004560000       0.031088609       1.631508260       0.031088609
      80.000000000       0.010300000       0.031088609       1.631508260       0.031088609
      75.000000000       0.022200000       0.031088609       1.631508260       0.031088609
      70.000000000       0.047000000       0.031088609       1.631508260       0.031088609
      65.000000000       0.095000000       0.031092006       1.631508911       0.031088511
      60.000000000       0.188000000       0.031109450       1.631507036       0.031088131
      55.000000000       0.362000000       0.031183806       1.631483931       0.031086883
      50.000000000       0.683000000       0.031468198       1.631363814       0.031082892
      47.500000000       0.940000000       0.031788167       1.631218961       0.031078627
      45.000000000       1.290000000       0.032306564       1.631008280       0.031071110
      42.500000000       1.800000000       0.033080324       1.630781058       0.031057699
      40.000000000       2.530000000       0.034180926       1.630630731       0.031034280
      37.500000000       3.600000000       0.035584407       1.630731695       0.030997001
      35.000000000       5.180000000       0.037226786       1.631323373       0.030941417
      32.500000000       7.560000000       0.039055182       1.632731984       0.030860835
      30.000000000      11.100000000       0.041115564       1.635198211       0.030748735
      27.500000000      16.460000000       0.043690104       1.639013692       0.030592300
      25.000000000      24.400000000       0.047007859       1.644609167       0.030378284
