#
#     DEFINES WAVELENGTH DEPENDENT COMPLEX INDEX OF REFRACTION FOR ICE.
#     ALLOWABLE WAVELENGTH RANGE EXTENDS FROM 0.045 MICRONS TO 167 MICRONS.
#
#     STEPHEN G. WARREN - 1983
#     DEPT. OF ATMOSPHERIC SCIENCES
#     UNIVERSITY OF WASHINGTON
#     SEATTLE, WA  98195
#
#     BASED ON
#
#        WARREN,S.G.,1984.
#        OPTICAL CONSTANTS OF ICE FROM THE ULTRAVIOLET TO THE MICROWAVE.
#        APPLIED OPTICS,23,1206-1225
#
#  nlambda = 
 468
#    lambda          real              im 
#   (microns)
#
   1.8700000       1.2794800      1.50000007E-04
   1.8900000       1.2784899      2.95000005E-04
   1.9050000       1.2777400      4.68699989E-04
   1.9230000       1.2769099      7.61499978E-04
   1.9420000       1.2761000      1.01000001E-03
   1.9610000       1.2753500      1.31299999E-03
   1.9800000       1.2747101      1.53899996E-03
   2.0000000       1.2740400      1.58799998E-03
   2.0200000       1.2732900      1.53999997E-03
   2.0409999       1.2724000      1.41200004E-03
   2.0620000       1.2713900      1.24400004E-03
   2.0829999       1.2702900      1.06799998E-03
   2.1050000       1.2690099      8.41400004E-04
   2.1300001       1.2673600      5.64999995E-04
   2.1500001       1.2659100      4.32000001E-04
   2.1700001       1.2644100      3.49999988E-04
   2.1900001       1.2628400      2.87000003E-04
   2.2200000       1.2603600      2.20999995E-04
   2.2400000       1.2586000      2.03000003E-04
   2.2449999       1.2581500      2.01000003E-04
   2.2500000       1.2576801      2.03000003E-04
   2.2600000       1.2567500      2.14000000E-04
   2.2700000       1.2557900      2.32000006E-04
   2.2900000       1.2538300      2.88999989E-04
   2.3099999       1.2517900      3.80999991E-04
   2.3299999       1.2496700      4.61999996E-04
   2.3499999       1.2474500      5.47999982E-04
   2.3699999       1.2451200      6.17999991E-04
   2.3900001       1.2426600      6.79999997E-04
   2.4100001       1.2400399      7.30000029E-04
   2.4300001       1.2372500      7.82000017E-04
   2.4600000       1.2327000      8.47999996E-04
   2.5000000       1.2258300      9.25000000E-04
   2.5200000       1.2219800      9.20000020E-04
   2.5500000       1.2154800      8.91999982E-04
   2.5650001       1.2118400      8.69999989E-04
   2.5799999       1.2079000      8.90000025E-04
   2.5899999       1.2050700      9.29999980E-04
   2.5999999       1.2020900      1.01000001E-03
   2.6199999       1.1956600      1.35000004E-03
   2.6750000       1.1741101      3.41999996E-03
   2.7249999       1.1473401      7.91999977E-03
   2.7780001       1.1076601      1.99999996E-02
   2.8169999       1.0673900      3.79999988E-02
   2.8329999       1.0476201      5.20000011E-02
   2.8490000       1.0265000      6.80000037E-02
   2.8650000       1.0035700      9.22999978E-02
   2.8820000      0.98197001      0.12700000    
   2.8989999      0.96503001      0.16900000    
   2.9150000      0.95962000      0.22100000    
   2.9330001      0.97268999      0.27599999    
   2.9500000      0.99172002      0.31200001    
   2.9670000       1.0066800      0.34700000    
   2.9849999       1.0218600      0.38800001    
   3.0030000       1.0427001      0.43799999    
   3.0209999       1.0759701      0.49300000    
   3.0400000       1.1295400      0.55400002    
   3.0580001       1.2126700      0.61199999    
   3.0769999       1.3250901      0.62500000    
   3.0960000       1.4259900      0.59299999    
   3.1150000       1.4965600      0.53899997    
   3.1350000       1.5509501      0.49100000    
   3.1550000       1.5998800      0.43799999    
   3.1750000       1.6363100      0.37200001    
   3.1949999       1.6502399      0.30000001    
   3.2149999       1.6427799      0.23800001    
   3.2360001       1.6269100      0.19300000    
   3.2570000       1.6128401      0.15800001    
   3.2790000       1.5924500      0.12100000    
   3.3000000       1.5732900      0.10300000    
   3.3220000       1.5577000      8.35999995E-02
   3.3450000       1.5412900      6.67999983E-02
   3.3670001       1.5265400      5.40000014E-02
   3.3900001       1.5113900      4.21999991E-02
   3.4130001       1.4972500      3.42000015E-02
   3.4360001       1.4845300      2.74000000E-02
   3.4600000       1.4720900      2.19999999E-02
   3.4840000       1.4612499      1.86000001E-02
   3.5090001       1.4513201      1.52000003E-02
   3.5339999       1.4421500      1.26000000E-02
   3.5590000       1.4336600      1.05999997E-02
   3.6240001       1.4155300      8.01999960E-03
   3.7320001       1.3941700      6.85000001E-03
   3.7750001       1.3873200      6.59999996E-03
   3.8469999       1.3773500      6.95999991E-03
   3.9690001       1.3644800      9.15999990E-03
   4.0990000       1.3541400      1.10999998E-02
   4.2389998       1.3445600      1.44999996E-02
   4.3480000       1.3388200      1.99999996E-02
   4.3870001       1.3380700      2.30000000E-02
   4.4439998       1.3384700      2.60000005E-02
   4.5050001       1.3405300      2.89999992E-02
   4.5469999       1.3428700      2.93000005E-02
   4.5599999       1.3441800      2.99999993E-02
   4.5799999       1.3463399      2.85000000E-02
   4.7189999       1.3442200      1.73000004E-02
   4.9039998       1.3345300      1.29000004E-02
   5.0000000       1.3289700      1.20000001E-02
   5.0999999       1.3233300      1.25000002E-02
   5.1999998       1.3180000      1.33999996E-02
   5.2630000       1.3143200      1.40000004E-02
   5.4000001       1.3062299      1.75000001E-02
   5.5560002       1.2972200      2.40000002E-02
   5.7140002       1.2889800      3.50000001E-02
   5.7470002       1.2873000      3.79999988E-02
   5.7800002       1.2860301      4.19999994E-02
   5.8140001       1.2850900      4.60000001E-02
   5.8480000       1.2853500      5.20000011E-02
   5.8820000       1.2881300      5.70000000E-02
   6.0609999       1.3015600      6.89999983E-02
   6.1350002       1.3090100      7.00000003E-02
   6.2500000       1.3171999      6.70000017E-02
   6.2890000       1.3189300      6.49999976E-02
   6.3290000       1.3203900      6.40000030E-02
   6.3690000       1.3220100      6.19999990E-02
   6.4099998       1.3223900      5.90000004E-02
   6.4520001       1.3214900      5.70000000E-02
   6.4940000       1.3203599      5.60000017E-02
   6.5790000       1.3181400      5.49999997E-02
   6.6669998       1.3170500      5.70000000E-02
   6.7570000       1.3180701      5.79999983E-02
   6.8969998       1.3195300      5.70000000E-02
