# sum atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
9.900e+01     3.920e-04     1.742e+02     7.710e+05     1.940e+05     1.690e+02     1.680e+00     4.450e-01     1.390e-03     5.794e-07     2.495e-08     4.170e+01     1.820e-06     2.316e-10     2.946e-10     8.265e-16     8.827e-14     6.550e+00     8.500e-13     5.958e-05     1.914e-11     1.220e-11     1.869e-13     7.650e-05     1.853e-06     1.000e-08     1.309e-06     3.978e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.800e+01     4.680e-04     1.671e+02     7.690e+05     1.950e+05     1.821e+02     1.770e+00     4.800e-01     1.538e-03     6.746e-07     2.962e-08     3.690e+01     2.061e-06     2.644e-10     4.040e-10     1.426e-15     1.214e-13     4.960e+00     1.044e-12     5.967e-05     1.914e-11     1.337e-11     2.645e-13     7.650e-05     1.894e-06     1.000e-08     1.403e-06     4.198e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.700e+01     5.590e-04     1.607e+02     7.710e+05     1.980e+05     1.955e+02     1.630e+00     5.270e-01     1.702e-03     7.859e-07     3.518e-08     3.270e+01     2.335e-06     3.018e-10     5.547e-10     2.464e-15     1.672e-13     3.880e+00     1.282e-12     5.975e-05     1.914e-11     1.465e-11     3.746e-13     7.650e-05     1.935e-06     1.000e-08     1.506e-06     4.431e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.600e+01     6.680e-04     1.551e+02     7.750e+05     2.010e+05     2.091e+02     1.500e+00     5.770e-01     1.884e-03     9.159e-07     4.181e-08     2.900e+01     2.646e-06     3.447e-10     7.621e-10     4.263e-15     2.303e-13     3.000e+00     1.576e-12     5.984e-05     1.914e-11     1.606e-11     5.311e-13     7.650e-05     1.977e-06     1.000e-08     1.616e-06     4.678e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.500e+01     7.980e-04     1.506e+02     7.780e+05     2.030e+05     2.223e+02     1.370e+00     6.320e-01     2.085e-03     1.067e-06     4.966e-08     2.680e+01     2.997e-06     3.936e-10     1.046e-09     7.369e-15     3.172e-13     2.330e+00     1.937e-12     5.992e-05     1.914e-11     1.761e-11     7.523e-13     7.650e-05     2.018e-06     1.000e-08     1.733e-06     4.938e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.400e+01     9.540e-04     1.466e+02     7.790e+05     2.060e+05     2.353e+02     1.260e+00     6.930e-01     2.308e-03     1.244e-06     5.904e-08     2.470e+01     3.398e-06     4.497e-10     1.439e-09     1.277e-14     4.374e-13     1.810e+00     2.381e-12     6.001e-05     1.914e-11     1.931e-11     1.067e-12     7.650e-05     2.059e-06     1.000e-08     1.860e-06     5.214e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.300e+01     1.140e-03     1.431e+02     7.800e+05     2.070e+05     2.481e+02     1.160e+00     7.600e-01     2.555e-03     1.450e-06     7.016e-08     2.280e+01     3.850e-06     5.136e-10     1.977e-09     2.209e-14     6.026e-13     1.390e+00     2.927e-12     6.010e-05     1.914e-11     2.117e-11     1.513e-12     7.650e-05     2.100e-06     1.000e-08     1.996e-06     5.504e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.200e+01     1.390e-03     1.401e+02     7.820e+05     2.090e+05     2.602e+02     1.070e+00     8.330e-01     2.861e-03     1.719e-06     8.501e-08     2.100e+01     4.425e-06     5.954e-10     2.815e-09     4.066e-14     8.610e-13     1.070e+00     3.683e-12     6.018e-05     1.914e-11     2.345e-11     2.231e-12     7.650e-05     2.141e-06     1.000e-08     2.159e-06     5.846e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.100e+01     1.660e-03     1.380e+02     7.820e+05     2.100e+05     2.714e+02     9.580e-01     9.350e-01     3.166e-03     2.003e-06     1.010e-07     1.930e+01     5.013e-06     6.797e-10     3.863e-09     7.022e-14     1.185e-12     8.120e-01     4.524e-12     6.030e-05     1.914e-11     2.570e-11     3.159e-12     7.650e-05     2.182e-06     1.000e-08     2.316e-06     6.171e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.000e+01     1.980e-03     1.366e+02     7.830e+05     2.110e+05     2.817e+02     8.610e-01     1.050e+00     3.501e-03     2.330e-06     1.198e-07     1.770e+01     5.673e-06     7.752e-10     5.290e-09     1.208e-13     1.627e-12     6.230e-01     5.548e-12     6.046e-05     1.914e-11     2.815e-11     4.461e-12     7.650e-05     2.224e-06     1.000e-08     2.483e-06     6.511e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
