# ngt atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
9.100e+01     1.507e-03     1.797e+02     7.820e+05     2.100e+05     2.714e+02     8.444e-01     5.040e-01     5.194e-02     4.520e-04     4.917e-07     1.952e+01     2.775e-05     1.000e-10     1.100e-05     1.000e-08     9.314e-13     7.930e-01     9.000e-08     6.030e-05     1.914e-11     3.063e-16     2.480e-08     7.650e-05     2.182e-06     1.000e-08     3.193e-09     6.656e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.000e+01     1.813e-03     1.814e+02     7.830e+05     2.110e+05     2.817e+02     8.496e-01     5.924e-01     5.448e-02     4.696e-04     5.634e-07     1.784e+01     3.044e-05     1.000e-10     1.200e-05     1.000e-08     1.440e-12     6.020e-01     9.000e-08     6.046e-05     1.914e-11     4.709e-16     2.870e-08     7.650e-05     2.224e-06     1.000e-08     4.273e-09     7.060e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.900e+01     2.173e-03     1.836e+02     7.840e+05     2.120e+05     2.910e+02     7.312e-01     6.938e-01     5.708e-02     4.877e-04     6.436e-07     1.641e+01     3.376e-05     1.000e-10     1.400e-05     1.000e-08     2.207e-12     4.440e-01     9.000e-08     6.072e-05     1.914e-11     7.174e-16     3.311e-08     7.650e-05     2.273e-06     1.000e-08     5.683e-09     7.479e-06     0.000e+00     1.112e-20     1.091e-08     2.000e-04     1.650e-06
8.800e+01     2.602e-03     1.858e+02     7.860e+05     2.130e+05     2.996e+02     6.189e-01     8.121e-01     5.980e-02     5.082e-04     7.349e-07     1.506e+01     3.783e-05     1.000e-10     1.500e-05     1.000e-08     3.374e-12     3.290e-01     9.000e-08     6.102e-05     1.914e-11     1.091e-15     3.817e-08     7.650e-05     2.322e-06     1.000e-08     7.549e-09     7.922e-06     0.000e+00     2.195e-20     1.091e-08     2.000e-04     1.650e-06
8.700e+01     3.110e-03     1.883e+02     7.860e+05     2.130e+05     3.074e+02     5.260e-01     9.489e-01     6.262e-02     5.283e-04     8.379e-07     1.365e+01     4.185e-05     1.000e-10     1.700e-05     1.000e-08     5.136e-12     2.150e-01     9.000e-08     6.137e-05     1.914e-11     1.652e-15     4.394e-08     7.650e-05     2.372e-06     1.000e-08     9.998e-09     8.386e-06     0.000e+00     4.299e-20     1.091e-08     2.000e-04     1.650e-06
8.600e+01     3.704e-03     1.909e+02     7.860e+05     2.130e+05     3.141e+02     4.489e-01     1.105e+00     6.550e-02     5.488e-04     9.528e-07     1.228e+01     4.577e-05     1.000e-10     1.800e-05     1.000e-08     7.754e-12     1.370e-01     9.000e-08     6.170e-05     1.914e-11     2.480e-15     5.045e-08     7.650e-05     2.421e-06     1.000e-08     1.317e-08     8.866e-06     0.000e+00     8.308e-20     1.091e-08     2.000e-04     1.650e-06
8.500e+01     4.403e-03     1.935e+02     7.870e+05     2.130e+05     3.200e+02     3.826e-01     1.285e+00     6.849e-02     5.703e-04     1.082e-06     1.119e+01     5.154e-05     1.000e-10     2.000e-05     1.000e-08     1.165e-11     9.190e-02     9.000e-08     6.205e-05     1.914e-11     3.707e-15     5.782e-08     7.650e-05     2.471e-06     1.000e-08     1.729e-08     9.369e-06     0.000e+00     1.593e-19     1.091e-08     2.000e-04     1.650e-06
8.400e+01     5.226e-03     1.959e+02     7.850e+05     2.130e+05     3.252e+02     3.370e-01     1.445e+00     7.159e-02     5.942e-04     1.227e-06     1.009e+01     5.939e-05     1.000e-10     2.200e-05     5.000e-08     1.745e-11     7.060e-02     9.000e-08     6.238e-05     1.914e-11     5.522e-15     6.620e-08     7.650e-05     2.537e-06     1.000e-08     2.265e-08     9.895e-06     0.000e+00     3.041e-19     1.091e-08     2.000e-04     1.650e-06
8.300e+01     6.194e-03     1.984e+02     7.860e+05     2.130e+05     3.295e+02     2.989e-01     1.618e+00     7.480e-02     6.199e-04     1.391e-06     9.260e+00     6.914e-05     1.000e-10     2.500e-05     9.000e-08     2.604e-11     5.430e-02     9.000e-08     6.272e-05     1.914e-11     8.202e-15     7.572e-08     7.650e-05     2.602e-06     1.000e-08     2.960e-08     1.045e-05     0.000e+00     5.774e-19     1.091e-08     2.000e-04     1.650e-06
8.200e+01     7.318e-03     2.003e+02     7.870e+05     2.130e+05     3.332e+02     2.656e-01     1.808e+00     7.809e-02     6.459e-04     1.572e-06     8.539e+00     7.882e-05     1.000e-10     2.700e-05     1.300e-07     3.858e-11     3.770e-02     9.000e-08     6.307e-05     1.914e-11     1.209e-14     8.638e-08     7.650e-05     2.668e-06     1.000e-08     3.850e-08     1.102e-05     0.000e+00     1.083e-18     1.091e-08     2.000e-04     1.650e-06
8.100e+01     8.635e-03     2.022e+02     7.880e+05     2.120e+05     3.364e+02     2.361e-01     2.019e+00     8.150e-02     6.721e-04     1.776e-06     7.867e+00     8.849e-05     1.000e-10     3.000e-05     1.700e-07     5.698e-11     2.470e-02     9.000e-08     6.343e-05     1.914e-11     1.776e-14     9.844e-08     7.650e-05     2.734e-06     1.000e-08     4.996e-08     1.161e-05     0.000e+00     2.020e-18     1.091e-08     2.000e-04     1.650e-06
8.000e+01     1.018e-02     2.041e+02     7.880e+05     2.120e+05     3.394e+02     2.097e-01     2.252e+00     8.502e-02     7.004e-04     2.004e-06     7.254e+00     1.061e-04     1.161e-10     3.200e-05     2.100e-07     8.398e-11     1.650e-02     9.000e-08     6.382e-05     1.914e-11     2.602e-14     1.121e-07     7.650e-05     2.800e-06     1.000e-08     6.471e-08     1.224e-05     0.000e+00     3.752e-18     1.091e-08     2.000e-04     1.650e-06
7.900e+01     1.197e-02     2.058e+02     7.870e+05     2.120e+05     3.421e+02     2.042e-01     2.470e+00     8.867e-02     7.319e-04     2.259e-06     6.688e+00     1.330e-04     1.505e-10     3.500e-05     4.100e-07     1.230e-10     9.690e-03     9.000e-08     6.428e-05     1.914e-11     3.799e-14     1.274e-07     7.650e-05     2.882e-06     1.000e-08     8.362e-08     1.289e-05     0.000e+00     6.929e-18     1.091e-08     2.000e-04     1.650e-06
7.800e+01     1.407e-02     2.075e+02     7.870e+05     2.120e+05     3.447e+02     2.032e-01     2.696e+00     9.245e-02     7.660e-04     2.544e-06     6.157e+00     1.700e-04     2.047e-10     3.800e-05     6.100e-07     1.800e-10     5.690e-03     9.000e-08     6.476e-05     1.914e-11     5.533e-14     1.448e-07     7.650e-05     2.964e-06     1.000e-08     1.079e-07     1.357e-05     0.000e+00     1.274e-17     1.091e-08     2.000e-04     1.650e-06
7.700e+01     1.652e-02     2.092e+02     7.880e+05     2.120e+05     3.471e+02     2.022e-01     2.940e+00     9.635e-02     8.017e-04     2.862e-06     5.668e+00     2.094e-04     2.639e-10     4.100e-05     8.100e-07     2.628e-10     3.350e-03     9.000e-08     6.527e-05     1.914e-11     8.029e-14     1.643e-07     7.650e-05     3.047e-06     1.000e-08     1.388e-07     1.428e-05     0.000e+00     2.331e-17     1.091e-08     2.000e-04     1.650e-06
7.600e+01     1.936e-02     2.109e+02     7.880e+05     2.120e+05     3.495e+02     2.013e-01     3.204e+00     1.004e-01     8.379e-04     3.216e-06     5.199e+00     2.479e-04     3.216e-10     4.400e-05     1.000e-06     3.820e-10     1.970e-03     9.000e-08     6.587e-05     1.914e-11     1.161e-13     1.862e-07     7.650e-05     3.129e-06     1.000e-08     1.782e-07     1.502e-05     0.000e+00     4.238e-17     1.091e-08     2.000e-04     1.650e-06
7.500e+01     2.267e-02     2.125e+02     7.880e+05     2.120e+05     3.519e+02     2.003e-01     3.491e+00     1.046e-01     8.752e-04     3.613e-06     4.749e+00     3.063e-04     3.908e-10     4.700e-05     1.200e-06     5.541e-10     1.170e-03     9.000e-08     6.657e-05     1.914e-11     1.677e-13     2.110e-07     7.650e-05     3.212e-06     1.000e-08     2.286e-07     1.580e-05     0.000e+00     7.691e-17     1.091e-08     2.000e-04     1.650e-06
7.400e+01     2.653e-02     2.141e+02     7.880e+05     2.120e+05     3.541e+02     2.109e-01     3.683e+00     1.089e-01     9.193e-04     4.056e-06     4.346e+00     3.993e-04     4.826e-10     5.000e-05     1.700e-06     8.026e-10     6.900e-04     9.123e-08     6.755e-05     1.914e-11     2.417e-13     2.389e-07     7.650e-05     3.310e-06     1.000e-08     2.929e-07     1.661e-05     0.000e+00     1.391e-16     1.091e-08     2.000e-04     1.650e-06
7.300e+01     3.101e-02     2.156e+02     7.890e+05     2.120e+05     3.564e+02     2.284e-01     3.817e+00     1.134e-01     9.673e-04     4.549e-06     4.022e+00     5.259e-04     5.946e-10     5.200e-05     2.200e-06     1.159e-09     4.090e-04     9.318e-08     6.863e-05     1.914e-11     3.474e-13     2.702e-07     7.650e-05     3.410e-06     1.000e-08     3.745e-07     1.746e-05     0.000e+00     2.505e-16     1.091e-08     2.000e-04     1.650e-06
7.200e+01     3.622e-02     2.172e+02     7.920e+05     2.120e+05     3.586e+02     2.476e-01     3.955e+00     1.180e-01     1.020e-03     5.099e-06     3.773e+00     6.661e-04     7.144e-10     5.500e-05     2.800e-06     1.671e-09     2.430e-04     9.517e-08     6.982e-05     1.914e-11     4.985e-13     3.054e-07     7.650e-05     3.508e-06     1.000e-08     4.782e-07     1.835e-05     0.000e+00     4.497e-16     1.091e-08     2.000e-04     1.650e-06
7.100e+01     4.222e-02     2.187e+02     7.920e+05     2.120e+05     3.604e+02     2.686e-01     4.096e+00     1.227e-01     1.071e-03     5.708e-06     3.580e+00     8.054e-04     8.336e-10     5.700e-05     3.300e-06     2.399e-09     1.440e-04     9.716e-08     7.109e-05     1.914e-11     7.120e-13     3.447e-07     7.650e-05     3.607e-06     1.000e-08     6.088e-07     1.927e-05     0.000e+00     8.015e-16     1.091e-08     2.000e-04     1.650e-06
7.000e+01     4.917e-02     2.203e+02     7.890e+05     2.120e+05     3.617e+02     2.909e-01     4.242e+00     1.277e-01     1.127e-03     6.385e-06     3.391e+00     9.741e-04     1.150e-09     6.000e-05     3.800e-06     3.435e-09     8.610e-05     9.919e-08     7.245e-05     1.914e-11     1.015e-12     3.889e-07     7.650e-05     3.706e-06     1.000e-08     7.742e-07     2.023e-05     0.000e+00     1.424e-15     1.091e-08     2.000e-04     1.650e-06
6.900e+01     5.722e-02     2.221e+02     7.880e+05     2.120e+05     3.625e+02     3.183e-01     4.374e+00     1.328e-01     1.187e-03     7.139e-06     3.189e+00     1.201e-03     1.729e-09     6.100e-05     4.500e-06     4.910e-09     5.140e-05     1.103e-07     7.399e-05     1.914e-11     1.444e-12     4.383e-07     7.650e-05     3.805e-06     1.000e-08     9.830e-07     2.123e-05     0.000e+00     2.523e-15     1.091e-08     2.000e-04     1.650e-06
6.800e+01     6.648e-02     2.238e+02     7.890e+05     2.120e+05     3.630e+02     3.501e-01     4.498e+00     1.380e-01     1.254e-03     7.972e-06     2.967e+00     1.465e-03     2.809e-09     6.300e-05     5.100e-06     6.992e-09     3.080e-05     1.295e-07     7.565e-05     1.914e-11     2.048e-12     4.935e-07     7.650e-05     3.903e-06     1.000e-08     1.245e-06     2.227e-05     0.000e+00     4.441e-15     1.091e-08     2.000e-04     1.650e-06
