# win atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
8.500e+01     4.690e-03     2.131e+02     7.870e+05     2.130e+05     3.200e+02     4.680e-01     8.592e+00     5.773e-02     4.193e-04     9.000e-08     2.370e+01     4.006e-02     5.802e-10     2.000e-05     2.165e-14     2.165e-14     1.863e+00     1.026e-11     6.205e-05     1.914e-11     3.532e-09     8.596e-11     7.650e-05     2.471e-06     1.000e-08     2.356e-09     6.562e-06     0.000e+00     1.950e-20     1.091e-08     2.000e-04     1.650e-06
8.400e+01     5.540e-03     2.153e+02     7.850e+05     2.130e+05     3.252e+02     4.150e-01     8.103e+00     6.005e-02     4.295e-04     9.000e-08     2.270e+01     4.424e-02     8.190e-10     2.197e-05     4.047e-14     4.047e-14     1.487e+00     1.348e-11     6.238e-05     1.914e-11     3.532e-09     1.058e-10     7.650e-05     2.537e-06     1.000e-08     3.220e-09     6.933e-06     0.000e+00     3.696e-20     1.091e-08     2.000e-04     1.650e-06
8.300e+01     6.540e-03     2.174e+02     7.860e+05     2.130e+05     3.295e+02     3.830e-01     7.516e+00     6.244e-02     4.387e-04     9.000e-08     2.170e+01     4.916e-02     1.155e-09     2.414e-05     7.547e-14     7.547e-14     1.107e+00     1.770e-11     6.272e-05     1.914e-11     3.532e-09     1.302e-10     7.650e-05     2.602e-06     1.000e-08     4.396e-09     7.323e-06     0.000e+00     6.987e-20     1.091e-08     2.000e-04     1.650e-06
8.200e+01     7.730e-03     2.196e+02     7.870e+05     2.130e+05     3.332e+02     3.530e-01     6.961e+00     6.496e-02     4.489e-04     9.000e-08     2.080e+01     5.258e-02     1.632e-09     2.652e-05     1.414e-13     1.414e-13     7.252e-01     2.329e-11     6.307e-05     1.914e-11     3.532e-09     1.605e-10     7.650e-05     2.668e-06     1.000e-08     6.014e-09     7.738e-06     0.000e+00     1.327e-19     1.091e-08     2.000e-04     1.650e-06
8.100e+01     9.070e-03     2.217e+02     7.880e+05     2.120e+05     3.364e+02     3.250e-01     6.456e+00     6.746e-02     4.602e-04     9.000e-08     1.990e+01     5.597e-02     2.272e-09     2.913e-05     2.578e-13     2.578e-13     4.596e-01     3.027e-11     6.343e-05     1.914e-11     3.532e-09     1.959e-10     7.650e-05     2.734e-06     1.000e-08     8.117e-09     8.157e-06     0.000e+00     2.451e-19     1.091e-08     2.000e-04     1.650e-06
8.000e+01     1.060e-02     2.239e+02     7.880e+05     2.120e+05     3.394e+02     3.000e-01     5.983e+00     6.998e-02     4.704e-04     9.000e-08     1.910e+01     5.984e-02     3.137e-09     3.200e-05     4.630e-13     4.630e-13     3.590e-01     3.909e-11     6.382e-05     1.914e-11     3.532e-09     2.380e-10     7.650e-05     2.800e-06     1.000e-08     1.087e-08     8.587e-06     0.000e+00     4.459e-19     1.091e-08     2.000e-04     1.650e-06
7.900e+01     1.260e-02     2.261e+02     7.870e+05     2.120e+05     3.421e+02     3.060e-01     5.526e+00     7.290e-02     4.857e-04     9.000e-08     1.830e+01     6.490e-02     4.487e-09     3.456e-05     8.861e-13     8.861e-13     2.724e-01     5.191e-11     6.428e-05     1.914e-11     3.532e-09     2.954e-10     7.650e-05     2.882e-06     1.000e-08     1.504e-08     9.091e-06     0.000e+00     8.657e-19     1.091e-08     2.000e-04     1.650e-06
7.800e+01     1.470e-02     2.282e+02     7.870e+05     2.120e+05     3.447e+02     3.120e-01     5.103e+00     7.560e-02     5.011e-04     9.000e-08     1.750e+01     6.877e-02     6.173e-09     3.732e-05     1.581e-12     1.581e-12     2.077e-01     6.684e-11     6.476e-05     1.914e-11     3.532e-09     3.581e-10     7.650e-05     2.964e-06     1.000e-08     2.008e-08     9.566e-06     0.000e+00     1.564e-18     1.091e-08     2.000e-04     1.650e-06
7.700e+01     1.720e-02     2.304e+02     7.880e+05     2.120e+05     3.471e+02     3.180e-01     4.712e+00     7.846e-02     5.174e-04     9.000e-08     1.670e+01     6.760e-02     8.545e-09     4.030e-05     2.852e-12     2.852e-12     1.690e-01     8.649e-11     6.527e-05     1.914e-11     3.532e-09     4.357e-10     7.650e-05     3.047e-06     1.000e-08     2.696e-08     1.007e-05     0.000e+00     2.859e-18     1.091e-08     2.000e-04     1.650e-06
7.600e+01     2.010e-02     2.325e+02     7.880e+05     2.120e+05     3.495e+02     3.240e-01     4.354e+00     8.140e-02     5.348e-04     9.000e-08     1.600e+01     6.624e-02     1.180e-08     4.352e-05     5.121e-12     5.121e-12     1.367e-01     1.117e-10     6.587e-05     1.914e-11     3.532e-09     5.293e-10     7.650e-05     3.129e-06     1.000e-08     3.611e-08     1.061e-05     0.000e+00     5.198e-18     1.091e-08     2.000e-04     1.650e-06
7.500e+01     2.350e-02     2.347e+02     7.880e+05     2.120e+05     3.519e+02     3.410e-01     4.012e+00     8.445e-02     5.522e-04     9.000e-08     1.530e+01     6.464e-02     1.630e-08     4.700e-05     9.210e-12     9.210e-12     1.121e-01     1.443e-10     6.657e-05     1.914e-11     3.532e-09     6.434e-10     7.650e-05     3.212e-06     1.000e-08     4.841e-08     1.117e-05     0.000e+00     9.471e-18     1.091e-08     2.000e-04     1.650e-06
7.400e+01     2.750e-02     2.368e+02     7.880e+05     2.120e+05     3.541e+02     3.590e-01     3.719e+00     8.765e-02     5.696e-04     9.000e-08     1.470e+01     6.277e-02     2.257e-08     4.935e-05     1.662e-11     1.662e-11     9.300e-02     1.868e-10     6.755e-05     1.914e-11     3.532e-09     7.830e-10     7.650e-05     3.310e-06     1.000e-08     6.500e-08     1.176e-05     0.000e+00     1.731e-17     1.091e-08     2.000e-04     1.650e-06
7.300e+01     3.210e-02     2.390e+02     7.890e+05     2.120e+05     3.564e+02     3.900e-01     3.426e+00     9.091e-02     5.870e-04     9.000e-08     1.410e+01     6.100e-02     3.109e-08     5.182e-05     2.971e-11     2.971e-11     7.576e-02     2.407e-10     6.863e-05     1.914e-11     3.532e-09     9.499e-10     7.650e-05     3.410e-06     1.000e-08     8.688e-08     1.238e-05     0.000e+00     3.135e-17     1.091e-08     2.000e-04     1.650e-06
