# tropic atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
0
# sampled gas :
N2
O2 
CO2 
O3 
H2O
CH4
N2O
HNO3
CO
NO2
N2O5
ClO
HOCl
ClONO2
NO
HNO4
HCN
NH3
F11
F12
F14
F22
CCl4
COF2
H2O2
C2H2
C2H6
OCS
SO2
SF6
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
9.200e+01     1.457e-03     1.875e+02     7.820e+05     2.090e+05     2.602e+02     8.434e-01     2.122e+00     3.177e-02     4.489e-04     5.821e-07     4.539e+01     9.000e-08     1.463e-09     1.264e-06     3.552e-11     1.000e-10     6.207e-02     1.858e-15     6.018e-05     1.914e-11     1.986e-12     1.321e-07     7.650e-05     2.141e-06     1.000e-08     4.953e-10     1.553e-05     0.000e+00     7.718e-17     1.091e-08     2.000e-04     1.650e-06
9.100e+01     1.737e-03     1.884e+02     7.820e+05     2.100e+05     2.714e+02     8.484e-01     2.205e+00     3.385e-02     4.654e-04     6.522e-07     4.293e+01     9.000e-08     1.802e-09     1.453e-06     5.006e-11     1.000e-10     4.660e-02     2.993e-15     6.030e-05     1.914e-11     2.617e-12     1.518e-07     7.650e-05     2.182e-06     1.000e-08     6.997e-10     1.603e-05     0.000e+00     1.272e-16     1.091e-08     2.000e-04     1.650e-06
9.000e+01     2.069e-03     1.896e+02     7.830e+05     2.110e+05     2.817e+02     7.643e-01     2.290e+00     3.605e-02     4.827e-04     7.303e-07     4.163e+01     9.000e-08     2.218e-09     1.670e-06     7.044e-11     1.000e-10     3.463e-02     4.811e-15     6.046e-05     1.914e-11     3.443e-12     1.743e-07     7.650e-05     2.224e-06     1.000e-08     9.867e-10     1.655e-05     0.000e+00     2.092e-16     1.091e-08     2.000e-04     1.650e-06
8.900e+01     2.463e-03     1.912e+02     7.840e+05     2.120e+05     2.910e+02     6.512e-01     2.379e+00     3.838e-02     5.018e-04     8.175e-07     4.009e+01     9.000e-08     2.728e-09     1.918e-06     9.900e-11     1.000e-10     2.535e-02     7.722e-15     6.072e-05     1.914e-11     4.526e-12     2.000e-07     7.650e-05     2.273e-06     1.000e-08     1.390e-09     1.708e-05     0.000e+00     3.435e-16     1.091e-08     2.000e-04     1.650e-06
8.800e+01     2.931e-03     1.933e+02     7.860e+05     2.130e+05     2.996e+02     5.553e-01     2.471e+00     4.086e-02     5.215e-04     9.149e-07     3.826e+01     9.000e-08     3.353e-09     2.203e-06     1.391e-10     1.000e-10     1.817e-02     1.238e-14     6.102e-05     1.914e-11     5.947e-12     2.294e-07     7.650e-05     2.322e-06     1.000e-08     1.956e-09     1.763e-05     0.000e+00     5.634e-16     1.091e-08     2.000e-04     1.650e-06
8.700e+01     3.470e-03     1.955e+02     7.860e+05     2.130e+05     3.074e+02     4.763e-01     2.564e+00     4.342e-02     5.411e-04     1.020e-06     3.614e+01     9.000e-08     4.097e-09     2.519e-06     1.933e-10     1.000e-10     1.314e-02     1.958e-14     6.137e-05     1.914e-11     7.750e-12     2.621e-07     7.650e-05     2.372e-06     1.000e-08     2.726e-09     1.818e-05     0.000e+00     9.105e-16     1.091e-08     2.000e-04     1.650e-06
8.600e+01     4.107e-03     1.980e+02     7.860e+05     2.130e+05     3.141e+02     4.080e-01     2.660e+00     4.613e-02     5.616e-04     1.138e-06     3.365e+01     9.000e-08     5.005e-09     2.880e-06     2.687e-10     1.000e-10     9.663e-03     3.093e-14     6.170e-05     1.914e-11     1.010e-11     2.994e-07     7.650e-05     2.421e-06     1.000e-08     3.796e-09     1.875e-05     0.000e+00     1.470e-15     1.091e-08     2.000e-04     1.650e-06
8.500e+01     4.857e-03     2.006e+02     7.870e+05     2.130e+05     3.200e+02     3.553e-01     2.759e+00     4.900e-02     5.839e-04     1.269e-06     3.177e+01     9.069e-08     6.107e-09     3.291e-06     3.728e-10     1.000e-10     7.306e-03     4.876e-14     6.205e-05     1.914e-11     1.313e-11     3.418e-07     7.650e-05     2.471e-06     1.000e-08     5.279e-09     1.933e-05     0.000e+00     2.369e-15     1.091e-08     2.000e-04     1.650e-06
8.400e+01     5.719e-03     2.028e+02     7.850e+05     2.130e+05     3.252e+02     3.162e-01     2.860e+00     5.197e-02     6.077e-04     1.410e-06     3.040e+01     9.200e-08     7.414e-09     3.747e-06     5.129e-10     1.000e-10     5.769e-03     7.597e-14     6.238e-05     1.914e-11     1.697e-11     3.889e-07     7.650e-05     2.537e-06     1.000e-08     7.277e-09     1.991e-05     0.000e+00     3.771e-15     1.091e-08     2.000e-04     1.650e-06
8.300e+01     6.730e-03     2.045e+02     7.860e+05     2.130e+05     3.295e+02     2.818e-01     2.963e+00     5.510e-02     6.327e-04     1.567e-06     2.879e+01     9.353e-08     8.994e-09     4.265e-06     7.049e-10     1.000e-10     4.762e-03     1.182e-13     6.272e-05     1.914e-11     2.191e-11     4.422e-07     7.650e-05     2.602e-06     1.000e-08     1.002e-08     2.051e-05     0.000e+00     5.990e-15     1.091e-08     2.000e-04     1.650e-06
