# model:  unkown 
#
# number of altitude
 50
# number of sampled gas :
 9 
# sampled gas :
h2o 
co2 
o3 
n2o 
co 
ch4 
o2 
no2 
so2 
# z (km)    P(z) (hpa)    T(z) (K)    air (cm-3) h2o(cm-3)    co2(cm-3)    o3(cm-3)    n2o(cm-3)    co(cm-3)    ch4(cm-3)    o2(cm-3)    no2(cm-3)    so2(cm-3) 
11     2.47000E+02     2.30100E+02     7.78000E+18     5.68407E+14     2.56740E+15     5.14491E+11     2.44292E+12     6.97399E+11     1.30315E+13     1.62602E+18     2.03836E+08     4.50462E+08     
10     2.86000E+02     2.37000E+02     8.74700E+18     1.67243E+15     2.88651E+15     4.89395E+11     2.78067E+12     8.71376E+11     1.47387E+13     1.82812E+18     2.08179E+08     5.31818E+08     
9     3.29000E+02     2.43600E+02     9.78900E+18     4.01153E+15     3.23037E+15     4.89450E+11     3.12759E+12     1.07092E+12     1.65728E+13     2.04590E+18     2.27105E+08     6.42158E+08     
8     3.78000E+02     2.50300E+02     1.09500E+19     8.36252E+15     3.61350E+15     4.89574E+11     3.50400E+12     1.29758E+12     1.85822E+13     2.28855E+18     2.51850E+08     7.89495E+08     
7     4.32000E+02     2.57000E+02     1.21800E+19     1.57000E+16     4.01940E+15     5.14361E+11     3.89760E+12     1.51885E+12     2.06938E+13     2.54562E+18     2.80140E+08     1.01094E+09     
6     4.92000E+02     2.63600E+02     1.35300E+19     2.84265E+16     4.46490E+15     5.39712E+11     4.32960E+12     1.74266E+12     2.30010E+13     2.82777E+18     3.11190E+08     1.31376E+09     
5     5.59000E+02     2.70300E+02     1.49900E+19     5.01565E+16     4.94670E+15     5.64673E+11     4.79680E+12     1.95320E+12     2.54830E+13     3.13291E+18     3.44770E+08     1.76882E+09     
4     6.33000E+02     2.77000E+02     1.65600E+19     7.35430E+16     5.46480E+15     5.89702E+11     5.29920E+12     2.17267E+12     2.81520E+13     3.46104E+18     3.80880E+08     2.41776E+09     
3     7.15000E+02     2.83700E+02     1.82700E+19     1.57122E+17     6.02910E+15     6.40181E+11     5.84640E+12     2.46462E+12     3.10590E+13     3.81843E+18     4.20210E+08     3.47130E+09     
2     8.05000E+02     2.87700E+02     2.02800E+19     3.11095E+17     6.69240E+15     6.77758E+11     6.48960E+12     2.83717E+12     3.44760E+13     4.23852E+18     4.66440E+08     4.78608E+09     
1     9.04000E+02     2.93700E+02     2.23100E+19     4.34822E+17     7.36230E+15     7.02765E+11     7.13920E+12     3.23495E+12     3.79270E+13     4.66279E+18     5.13130E+08     6.11294E+09     
0     1.01300E+03     2.99700E+02     2.45000E+19     6.35285E+17     8.08500E+15     7.02905E+11     7.84000E+12     3.67500E+12     4.16500E+13     5.12050E+18     5.63500E+08     7.35000E+09     
