#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00     48   1900     0.347192687E+00     0.200008798E+01     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.994223990E+00     0.239650129E+00     0.146644794E+00    -0.392220050E-01     0.545862934E-01     0.937856386E-01    -0.299532914E-01
    -0.994045080E+00     0.233461804E+00     0.149049312E+00    -0.357521508E-01     0.492883266E-01     0.929799737E-01    -0.285940412E-01
    -0.993863440E+00     0.227516756E+00     0.151600507E+00    -0.322941482E-01     0.440737826E-01     0.920801365E-01    -0.272254023E-01
    -0.993679090E+00     0.221827672E+00     0.154290493E+00    -0.288502063E-01     0.389621254E-01     0.910907061E-01    -0.258542867E-01
    -0.993492020E+00     0.216405367E+00     0.157111201E+00    -0.254221924E-01     0.339714291E-01     0.900163346E-01    -0.244873330E-01
    -0.993302230E+00     0.211260060E+00     0.160053853E+00    -0.220124061E-01     0.291194389E-01     0.888619195E-01    -0.231311752E-01
    -0.993109720E+00     0.206400981E+00     0.163109121E+00    -0.186233928E-01     0.244231873E-01     0.876325360E-01    -0.217923324E-01
    -0.992914490E+00     0.201836318E+00     0.166267162E+00    -0.152579482E-01     0.198989044E-01     0.863334140E-01    -0.204771757E-01
    -0.992716540E+00     0.197573180E+00     0.169517650E+00    -0.119191197E-01     0.155619339E-01     0.849699171E-01    -0.191918961E-01
    -0.992515880E+00     0.193617739E+00     0.172849642E+00    -0.861036924E-02     0.114268534E-01     0.835475914E-01    -0.179425342E-01
    -0.992312500E+00     0.189974599E+00     0.176252115E+00    -0.533507381E-02     0.750677494E-02     0.820719315E-01    -0.167347620E-01
    -0.992106410E+00     0.186647557E+00     0.179713345E+00    -0.209717935E-02     0.381410154E-02     0.805486408E-01    -0.155741031E-01
    -0.991897590E+00     0.183638728E+00     0.183221785E+00     0.109960168E-02     0.359536626E-03     0.789832445E-01    -0.144656176E-01
    -0.991686070E+00     0.180949732E+00     0.186764765E+00     0.425056375E-02    -0.284660605E-02     0.773816638E-01    -0.134143109E-01
    -0.991471830E+00     0.178580243E+00     0.190330216E+00     0.735155144E-02    -0.579610450E-02     0.757494448E-01    -0.124245803E-01
    -0.991254880E+00     0.176529092E+00     0.193905383E+00     0.103977620E-01    -0.848158705E-02     0.740923387E-01    -0.115006080E-01
    -0.991035220E+00     0.174793737E+00     0.197477539E+00     0.133843622E-01    -0.108971855E-01     0.724159787E-01    -0.106461399E-01
    -0.990812840E+00     0.173370356E+00     0.201034031E+00     0.163064861E-01    -0.130384913E-01     0.707258594E-01    -0.986448645E-02
    -0.990587750E+00     0.172254056E+00     0.204561844E+00     0.191588589E-01    -0.149022779E-01     0.690275457E-01    -0.915861635E-02
    -0.990359950E+00     0.171438670E+00     0.208048149E+00     0.219362265E-01    -0.164868335E-01     0.673264250E-01    -0.853102869E-02
    -0.990129440E+00     0.170916868E+00     0.211480185E+00     0.246332422E-01    -0.177918460E-01     0.656277652E-01    -0.798378406E-02
    -0.989896220E+00     0.170680189E+00     0.214845316E+00     0.272444936E-01    -0.188183973E-01     0.639366974E-01    -0.751849700E-02
    -0.989660290E+00     0.170719083E+00     0.218131087E+00     0.297645315E-01    -0.195689500E-01     0.622581992E-01    -0.713633101E-02
    -0.989421650E+00     0.171022955E+00     0.221325272E+00     0.321878990E-01    -0.200473260E-01     0.605970796E-01    -0.683799586E-02
    -0.989180300E+00     0.171580212E+00     0.224415934E+00     0.345091636E-01    -0.202586781E-01     0.589579639E-01    -0.662374744E-02
    -0.988936250E+00     0.172378286E+00     0.227391355E+00     0.367228607E-01    -0.202094608E-01     0.573453454E-01    -0.649339362E-02
    -0.988689490E+00     0.173403786E+00     0.230240455E+00     0.388238025E-01    -0.199073862E-01     0.557633734E-01    -0.644628132E-02
    -0.988440020E+00     0.174642489E+00     0.232952470E+00     0.408068252E-01    -0.193613537E-01     0.542160447E-01    -0.648132824E-02
    -0.988187850E+00     0.176079364E+00     0.235517024E+00     0.426668516E-01    -0.185814433E-01     0.527071829E-01    -0.659701542E-02
    -0.987932980E+00     0.177698754E+00     0.237924402E+00     0.443990847E-01    -0.175788070E-01     0.512403051E-01    -0.679140216E-02
    -0.987675400E+00     0.179484480E+00     0.240165559E+00     0.459990135E-01    -0.163655567E-01     0.498186243E-01    -0.706215544E-02
    -0.987415120E+00     0.181419718E+00     0.242231895E+00     0.474622577E-01    -0.149548289E-01     0.484452101E-01    -0.740653546E-02
    -0.987152130E+00     0.183487360E+00     0.244115649E+00     0.487848499E-01    -0.133605197E-01     0.471227613E-01    -0.782145520E-02
    -0.986886440E+00     0.185669795E+00     0.245809618E+00     0.499630439E-01    -0.115974160E-01     0.458538127E-01    -0.830344768E-02
    -0.986618060E+00     0.187949148E+00     0.247307376E+00     0.509934772E-01    -0.968101566E-02     0.446406181E-01    -0.884870756E-02
    -0.986346970E+00     0.190307627E+00     0.248603438E+00     0.518732903E-01    -0.762719644E-02     0.434850235E-01    -0.945318588E-02
    -0.986073180E+00     0.192727110E+00     0.249692958E+00     0.525999265E-01    -0.545255218E-02     0.423887369E-01    -0.101124926E-01
    -0.985796700E+00     0.195189478E+00     0.250571955E+00     0.531713007E-01    -0.317409917E-02     0.413531813E-01    -0.108219758E-01
    -0.985517510E+00     0.197676981E+00     0.251237398E+00     0.535858623E-01    -0.808914842E-03     0.403793943E-01    -0.115768336E-01
    -0.985235630E+00     0.200171701E+00     0.251687021E+00     0.538424880E-01     0.162537872E-02     0.394682859E-01    -0.123719597E-01
    -0.984951050E+00     0.202656263E+00     0.251919524E+00     0.539406234E-01     0.411130126E-02     0.386203907E-01    -0.132021584E-01
    -0.984663780E+00     0.205113480E+00     0.251934489E+00     0.538802413E-01     0.663118888E-02     0.378360402E-01    -0.140620375E-01
    -0.984373810E+00     0.207526788E+00     0.251732412E+00     0.536618735E-01     0.916764102E-02     0.371152481E-01    -0.149461544E-01
    -0.984081150E+00     0.209879980E+00     0.251314713E+00     0.532866331E-01     0.117032689E-01     0.364578254E-01    -0.158489283E-01
    -0.983785790E+00     0.212157621E+00     0.250683701E+00     0.527561956E-01     0.142211405E-01     0.358632877E-01    -0.167647927E-01
    -0.983487750E+00     0.214344732E+00     0.249842659E+00     0.520728840E-01     0.167044468E-01     0.353309689E-01    -0.176880727E-01
    -0.983187010E+00     0.216427387E+00     0.248795667E+00     0.512395361E-01     0.191371852E-01     0.348598946E-01    -0.186132327E-01
    -0.982883580E+00     0.218392262E+00     0.247547770E+00     0.502596543E-01     0.215036598E-01     0.344489215E-01    -0.195346907E-01
    -0.982577460E+00     0.220226993E+00     0.246104852E+00     0.491373173E-01     0.237889009E-01     0.340966736E-01    -0.204469726E-01
