#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00      8   1900     0.488154958E+00     0.200000506E+01     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.991686070E+00     0.128439753E+00     0.914472011E-01    -0.913295747E-01    -0.591876787E-01    -0.167197102E-01    -0.495512053E-02
    -0.991471830E+00     0.129882279E+00     0.917205526E-01    -0.915965543E-01    -0.582505231E-01    -0.171348855E-01    -0.508026347E-02
    -0.991254880E+00     0.131338340E+00     0.919966602E-01    -0.918660264E-01    -0.573047496E-01    -0.175545215E-01    -0.520685880E-02
    -0.991035220E+00     0.132807768E+00     0.922754989E-01    -0.921379586E-01    -0.563504733E-01    -0.179785891E-01    -0.533490158E-02
    -0.990812840E+00     0.134290458E+00     0.925570565E-01    -0.924123304E-01    -0.553877673E-01    -0.184070783E-01    -0.546439262E-02
    -0.990587750E+00     0.135786173E+00     0.928412950E-01    -0.926890961E-01    -0.544167921E-01    -0.188399403E-01    -0.559532102E-02
    -0.990359950E+00     0.137294739E+00     0.931281892E-01    -0.929682222E-01    -0.534376662E-01    -0.192771451E-01    -0.572768164E-02
    -0.990129440E+00     0.138815982E+00     0.934177134E-01    -0.932496748E-01    -0.524505085E-01    -0.197186625E-01    -0.586146929E-02
    -0.989896220E+00     0.140349725E+00     0.937098419E-01    -0.935334195E-01    -0.514554392E-01    -0.201644621E-01    -0.599667870E-02
    -0.989660290E+00     0.141895792E+00     0.940045487E-01    -0.938194219E-01    -0.504525794E-01    -0.206145129E-01    -0.613330456E-02
    -0.989421650E+00     0.143454003E+00     0.943018077E-01    -0.941076469E-01    -0.494420511E-01    -0.210687840E-01    -0.627134148E-02
    -0.989180300E+00     0.145024178E+00     0.946015926E-01    -0.943980594E-01    -0.484239772E-01    -0.215272440E-01    -0.641078400E-02
    -0.988936250E+00     0.146606071E+00     0.949038645E-01    -0.946906116E-01    -0.473985234E-01    -0.219898421E-01    -0.655162085E-02
    -0.988689490E+00     0.148199564E+00     0.952086092E-01    -0.949852798E-01    -0.463657721E-01    -0.224565656E-01    -0.669385223E-02
    -0.988440020E+00     0.149804473E+00     0.955157999E-01    -0.952820277E-01    -0.453258489E-01    -0.229273820E-01    -0.683747251E-02
    -0.988187850E+00     0.151420548E+00     0.958253973E-01    -0.955808068E-01    -0.442789217E-01    -0.234022401E-01    -0.698247024E-02
    -0.987932980E+00     0.153047603E+00     0.961373743E-01    -0.958815803E-01    -0.432251170E-01    -0.238811071E-01    -0.712883967E-02
    -0.987675400E+00     0.154685513E+00     0.964517159E-01    -0.961843228E-01    -0.421645215E-01    -0.243639688E-01    -0.727658074E-02
    -0.987415120E+00     0.156334027E+00     0.967683825E-01    -0.964889852E-01    -0.410973048E-01    -0.248507731E-01    -0.742568182E-02
