# ARTDECO : output file
# Downward Radiances
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
# total number of geometries
         270
# nsza, nvza_dw, n
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.385241485E+01
#        sza               vza              vaa              theta              I_dw              Q_dw              U_dw                dI_dw            dQ_dw             dU_dw              Polar. (%)
      60.000000000     110.000000000      90.000000000     118.213557466       0.045336683       0.021524647      -0.028424879       0.000000000       0.000000000       0.000000000      78.645082794
      60.000000000     110.000000000     180.000000000     139.000000000       0.056845205      -0.015052604      -0.000000000       0.000000000       0.000000000       0.000000000      26.479988363
      60.000000000     111.000000000       0.000000000     100.000000000       0.074448101       0.004425033       0.000000000       0.000000000       0.000000000       0.000000000       5.943781767
      60.000000000     111.000000000      90.000000000     118.024320674       0.044179391       0.020994733      -0.027505744       0.000000000       0.000000000       0.000000000      78.323102555
      60.000000000     111.000000000     180.000000000     140.000000000       0.054733747      -0.015289322      -0.000000000       0.000000000       0.000000000       0.000000000      27.933993868
      60.000000000     112.000000000       0.000000000      99.000000000       0.072675988       0.004436420       0.000000000       0.000000000       0.000000000       0.000000000       6.104382686
      60.000000000     112.000000000      90.000000000     117.826143233       0.043080221       0.020491853      -0.026623359       0.000000000       0.000000000       0.000000000      77.985713843
      60.000000000     112.000000000     180.000000000     141.000000000       0.052729416      -0.015510151      -0.000000000       0.000000000       0.000000000       0.000000000      29.414608748
      60.000000000     113.000000000       0.000000000      98.000000000       0.070970410       0.004426989       0.000000000       0.000000000       0.000000000       0.000000000       6.237794872
      60.000000000     113.000000000      90.000000000     117.619132006       0.042036580       0.020014827      -0.025776230       0.000000000       0.000000000       0.000000000      77.633456590
      60.000000000     113.000000000     180.000000000     142.000000000       0.050827259      -0.015716162      -0.000000000       0.000000000       0.000000000       0.000000000      30.920735391
      60.000000000     114.000000000       0.000000000      97.000000000       0.069328774       0.004398250       0.000000000       0.000000000       0.000000000       0.000000000       6.344046835
      60.000000000     114.000000000      90.000000000     117.403397336       0.041045758       0.019562411      -0.024962744       0.000000000       0.000000000       0.000000000      77.266859054
      60.000000000     114.000000000     180.000000000     143.000000000       0.049022248      -0.015908275      -0.000000000       0.000000000       0.000000000       0.000000000      32.451133959
      60.000000000     115.000000000       0.000000000      96.000000000       0.067748283       0.004351579       0.000000000       0.000000000       0.000000000       0.000000000       6.423157973
      60.000000000     115.000000000      90.000000000     117.179052852       0.040105022       0.019133343      -0.024181242       0.000000000       0.000000000       0.000000000      76.886441924
      60.000000000     115.000000000     180.000000000     144.000000000       0.047309414      -0.016087289      -0.000000000       0.000000000       0.000000000       0.000000000      34.004414656
      60.000000000     116.000000000       0.000000000      95.000000000       0.066226053       0.004288228       0.000000000       0.000000000       0.000000000       0.000000000       6.475137781
      60.000000000     116.000000000      90.000000000     116.946215263       0.039211680       0.018726375      -0.023430062       0.000000000       0.000000000       0.000000000      76.492721553
      60.000000000     116.000000000     180.000000000     145.000000000       0.045683927      -0.016253898      -0.000000000       0.000000000       0.000000000       0.000000000      35.579030241
      60.000000000     117.000000000       0.000000000      94.000000000       0.064759194       0.004209338       0.000000000       0.000000000       0.000000000       0.000000000       6.499985173
      60.000000000     117.000000000      90.000000000     116.705004161       0.038363116       0.018340290      -0.022707574       0.000000000       0.000000000       0.000000000      76.086212484
      60.000000000     117.000000000     180.000000000     146.000000000       0.044141148      -0.016408708      -0.000000000       0.000000000       0.000000000       0.000000000      37.173268868
      60.000000000     118.000000000       0.000000000      93.000000000       0.063344867       0.004115952       0.000000000       0.000000000       0.000000000       0.000000000       6.497687887
      60.000000000     118.000000000      90.000000000     116.455541824       0.037556820       0.017973920      -0.022012198       0.000000000       0.000000000       0.000000000      75.667429443
      60.000000000     118.000000000     180.000000000     147.000000000       0.042676665      -0.016552250      -0.000000000       0.000000000       0.000000000       0.000000000      38.785247325
      60.000000000     119.000000000       0.000000000      92.000000000       0.061980318       0.004009025       0.000000000       0.000000000       0.000000000       0.000000000       6.468222006
      60.000000000     119.000000000      90.000000000     116.197953011       0.036790400       0.017626146      -0.021342417       0.000000000       0.000000000       0.000000000      75.236888896
      60.000000000     119.000000000     180.000000000     148.000000000       0.041286301      -0.016684993      -0.000000000       0.000000000       0.000000000       0.000000000      40.412904801
      60.000000000     120.000000000       0.000000000      91.000000000       0.060662907       0.003889434       0.000000000       0.000000000       0.000000000       0.000000000       6.411551567
      60.000000000     120.000000000      90.000000000     115.932364776       0.036061593       0.017295910      -0.020696785       0.000000000       0.000000000       0.000000000      74.795110274
      60.000000000     120.000000000     180.000000000     149.000000000       0.039966122      -0.016807352      -0.000000000       0.000000000       0.000000000       0.000000000      42.053997313
      60.000000000     121.000000000       0.000000000      90.000000000       0.059390114       0.003757986       0.000000000       0.000000000       0.000000000       0.000000000       6.327628264
      60.000000000     121.000000000      90.000000000     115.658906273       0.035368262       0.016982210      -0.020073932       0.000000000       0.000000000       0.000000000      74.342616928
      60.000000000     121.000000000     180.000000000     150.000000000       0.038712435      -0.016919693      -0.000000000       0.000000000       0.000000000       0.000000000      43.706092957
      60.000000000     122.000000000       0.000000000      89.000000000       0.058159553       0.003615425       0.000000000       0.000000000       0.000000000       0.000000000       6.216391234
      60.000000000     122.000000000      90.000000000     115.377708569       0.034708399       0.016684106      -0.019472561       0.000000000       0.000000000       0.000000000      73.879936873
      60.000000000     122.000000000     180.000000000     151.000000000       0.037521783      -0.017022345      -0.000000000       0.000000000       0.000000000       0.000000000      45.366568133
      60.000000000     123.000000000       0.000000000      88.000000000       0.056968973       0.003462441       0.000000000       0.000000000       0.000000000       0.000000000       6.077766933
      60.000000000     123.000000000      90.000000000     115.088904462       0.034080120       0.016400711      -0.018891451       0.000000000       0.000000000       0.000000000      73.407603363
      60.000000000     123.000000000     180.000000000     152.000000000       0.036390929      -0.017115602      -0.000000000       0.000000000       0.000000000       0.000000000      47.032604935
      60.000000000     124.000000000       0.000000000      87.000000000       0.055816255       0.003299672       0.000000000       0.000000000       0.000000000       0.000000000       5.911669081
