# 
# Monochromatic solar spectrum 
# Integrated value (W m-2) : 
1373.097
# Number of sampled values :
54154
# 
# lambda (microns)         Spectr. (W m-2 microns-1) 
1.85387738e-01  2.7555287e+00
1.85391175e-01  2.3285209e+00
1.85394612e-01  2.8591834e+00
1.85398050e-01  3.3989415e+00
1.85401487e-01  3.6267564e+00
1.85404924e-01  3.9160904e+00
1.85408362e-01  3.2605662e+00
1.85411800e-01  4.3724102e+00
1.85415237e-01  5.0676443e+00
1.85418675e-01  4.6011852e+00
1.85422113e-01  3.4541947e+00
1.85425552e-01  3.6533445e+00
1.85428990e-01  2.8130740e+00
1.85432428e-01  3.2345354e+00
1.85435867e-01  3.5448398e+00
1.85439306e-01  3.0501229e+00
1.85442745e-01  2.0329084e+00
1.85446184e-01  2.8868244e+00
1.85449623e-01  3.7979708e+00
1.85453062e-01  4.3900455e+00
1.85456501e-01  4.9331299e+00
1.85459941e-01  5.0739900e+00
1.85463380e-01  3.8922005e+00
1.85466820e-01  2.9986575e+00
1.85470260e-01  3.1342119e+00
1.85473700e-01  3.4621369e+00
1.85477140e-01  3.8264431e+00
1.85480580e-01  4.3576217e+00
1.85484021e-01  5.2941792e+00
1.85487461e-01  4.1151914e+00
1.85490902e-01  4.5975891e+00
1.85494342e-01  5.2225042e+00
1.85497783e-01  5.2995682e+00
1.85501224e-01  4.8464118e+00
1.85504665e-01  3.7973101e+00
1.85508107e-01  3.5075013e+00
1.85511548e-01  3.3873371e+00
1.85514990e-01  3.3659685e+00
1.85518431e-01  3.4223452e+00
1.85521873e-01  3.5392188e+00
1.85525315e-01  3.9439696e+00
1.85528757e-01  4.0805780e+00
1.85532199e-01  3.3114207e+00
1.85535641e-01  2.2493759e+00
1.85539084e-01  1.8787033e+00
1.85542526e-01  2.9280313e+00
1.85545969e-01  3.4359431e+00
1.85549412e-01  3.9754587e+00
1.85552855e-01  3.7614926e+00
1.85556298e-01  2.9498697e+00
1.85559741e-01  2.2268528e+00
1.85563184e-01  1.3573691e+00
1.85566628e-01  2.4683275e+00
1.85570071e-01  3.3412372e+00
1.85573515e-01  3.7867079e+00
1.85576959e-01  3.9437541e+00
1.85580403e-01  3.8900287e+00
1.85583847e-01  3.0582312e+00
1.85587291e-01  4.1248019e+00
1.85590735e-01  4.1319953e+00
1.85594180e-01  3.0377608e+00
1.85597624e-01  2.2445969e+00
1.85601069e-01  3.7410059e+00
1.85604514e-01  4.6074791e+00
1.85607959e-01  4.0916179e+00
1.85611404e-01  3.6965991e+00
1.85614849e-01  3.8460681e+00
1.85618295e-01  3.9830006e+00
1.85621740e-01  2.7575098e+00
1.85625186e-01  1.9365941e+00
1.85628631e-01  2.4770879e+00
1.85632077e-01  3.2995869e+00
1.85635523e-01  3.7440224e+00
1.85638969e-01  3.9599237e+00
1.85642416e-01  4.7181124e+00
1.85645862e-01  3.9661848e+00
1.85649308e-01  3.9344971e+00
1.85652755e-01  4.1427445e+00
1.85656202e-01  4.0888424e+00
1.85659649e-01  4.3694123e+00
1.85663096e-01  4.4445812e+00
1.85666543e-01  4.4444142e+00
1.85669990e-01  4.4787944e+00
1.85673438e-01  4.5279277e+00
1.85676885e-01  4.5450889e+00
1.85680333e-01  4.5987310e+00
1.85683781e-01  3.7960362e+00
1.85687228e-01  3.8049854e+00
1.85690676e-01  3.8395221e+00
1.85694125e-01  3.2789382e+00
1.85697573e-01  2.2312647e+00
1.85701021e-01  2.7673176e+00
1.85704470e-01  3.3737817e+00
1.85707919e-01  3.7820171e+00
1.85711367e-01  3.9174316e+00
1.85714816e-01  3.7554710e+00
1.85718265e-01  3.2919304e+00
1.85721715e-01  3.1083507e+00
1.85725164e-01  3.0719003e+00
1.85728613e-01  3.0047608e+00
1.85732063e-01  2.6295464e+00
1.85735513e-01  2.2372598e+00
1.85738962e-01  3.1938219e+00
1.85742412e-01  3.1025652e+00
1.85745863e-01  2.3760031e+00
1.85749313e-01  2.1698050e+00
1.85752763e-01  2.6625019e+00
1.85756214e-01  3.2433093e+00
1.85759664e-01  3.0868175e+00
1.85763115e-01  2.6064304e+00
1.85766566e-01  2.1784244e+00
1.85770017e-01  2.3000926e+00
1.85773468e-01  2.5888088e+00
1.85776919e-01  2.2797321e+00
1.85780370e-01  2.8072059e+00
1.85783822e-01  2.6460244e+00
1.85787274e-01  2.4295206e+00
1.85790725e-01  2.7715290e+00
1.85794177e-01  3.3509332e+00
1.85797629e-01  2.9127280e+00
1.85801081e-01  3.5022075e+00
1.85804534e-01  3.4126609e+00
1.85807986e-01  2.8228175e+00
1.85811439e-01  2.4493959e+00
1.85814891e-01  2.7801572e+00
1.85818344e-01  3.4398742e+00
1.85821797e-01  3.6703053e+00
1.85825250e-01  3.5147211e+00
1.85828703e-01  3.5688781e+00
1.85832156e-01  3.8177681e+00
1.85835610e-01  3.9068973e+00
1.85839063e-01  3.5080911e+00
1.85842517e-01  3.1370380e+00
1.85845971e-01  3.1321355e+00
1.85849425e-01  3.2586574e+00
1.85852879e-01  3.3762052e+00
1.85856333e-01  3.4978554e+00
1.85859787e-01  3.5890499e+00
1.85863242e-01  3.4332876e+00
1.85866696e-01  3.2816006e+00
1.85870151e-01  3.3791066e+00
1.85873606e-01  3.6091834e+00
1.85877061e-01  3.5083089e+00
1.85880516e-01  3.5952977e+00
1.85883971e-01  4.0515700e+00
1.85887427e-01  3.5352872e+00
1.85890882e-01  2.4005063e+00
1.85894338e-01  1.5423663e+00
1.85897793e-01  1.8917148e+00
1.85901249e-01  3.3764628e+00
1.85904705e-01  3.4750459e+00
1.85908161e-01  3.5579901e+00
1.85911618e-01  3.9039758e+00
1.85915074e-01  4.0130984e+00
1.85918530e-01  2.7654863e+00
1.85921987e-01  2.9401935e+00
1.85925444e-01  3.0552149e+00
1.85928901e-01  2.6858636e+00
1.85932358e-01  2.4331806e+00
1.85935815e-01  3.0050835e+00
1.85939272e-01  2.7839140e+00
1.85942730e-01  2.3056229e+00
1.85946187e-01  1.6654417e+00
1.85949645e-01  1.5609647e+00
1.85953103e-01  2.1464697e+00
1.85956561e-01  2.9389349e+00
1.85960019e-01  2.8782498e+00
1.85963477e-01  3.1772053e+00
1.85966935e-01  3.5355124e+00
1.85970394e-01  3.6057723e+00
1.85973852e-01  3.4577476e+00
1.85977311e-01  3.6528099e+00
1.85980770e-01  3.0967059e+00
1.85984229e-01  3.2926941e+00
1.85987688e-01  3.2527564e+00
1.85991147e-01  2.8789011e+00
1.85994606e-01  2.5775201e+00
1.85998066e-01  3.0811637e+00
1.86001525e-01  3.0976229e+00
1.86004985e-01  4.0615096e+00
1.86008445e-01  4.2358880e+00
1.86011905e-01  3.7121670e+00
1.86015365e-01  3.2066239e+00
1.86018825e-01  2.7935372e+00
1.86022285e-01  3.2248185e+00
1.86025746e-01  3.2077001e+00
1.86029207e-01  3.4417028e+00
1.86032667e-01  3.6958130e+00
1.86036128e-01  3.3774168e+00
1.86039589e-01  3.2447549e+00
1.86043050e-01  4.0828923e+00
1.86046512e-01  3.9622149e+00
1.86049973e-01  3.5022177e+00
1.86053435e-01  3.1095714e+00
1.86056896e-01  2.8212231e+00
1.86060358e-01  3.5200590e+00
1.86063820e-01  3.7283658e+00
1.86067282e-01  3.0306192e+00
1.86070744e-01  2.5100081e+00
1.86074206e-01  2.6560277e+00
1.86077669e-01  2.9314135e+00
1.86081131e-01  3.7010430e+00
1.86084594e-01  2.7667995e+00
1.86088057e-01  2.7427898e+00
1.86091520e-01  2.9616357e+00
1.86094983e-01  2.8315895e+00
