#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00     48   1900     0.915482375E-01     0.200008610E+01     0.100000000E+01     0.100000000E+01    -0.327680000E+05
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.987152130E+00     0.434726103E+00     0.519942030E+00     0.294542316E+00     0.206749536E+00     0.443639625E-01    -0.755257472E-01
    -0.986886440E+00     0.434529304E+00     0.520227191E+00     0.294068080E+00     0.205957865E+00     0.434788448E-01    -0.787263963E-01
    -0.986618060E+00     0.434430274E+00     0.520142188E+00     0.293254492E+00     0.205308242E+00     0.425900733E-01    -0.819235917E-01
    -0.986346970E+00     0.434419095E+00     0.519689839E+00     0.292112875E+00     0.204798037E+00     0.416985646E-01    -0.851089328E-01
    -0.986073180E+00     0.434485572E+00     0.518874458E+00     0.290655315E+00     0.204423530E+00     0.408052538E-01    -0.882736563E-01
    -0.985796700E+00     0.434619270E+00     0.517701878E+00     0.288894584E+00     0.204179871E+00     0.399109931E-01    -0.914090436E-01
    -0.985517510E+00     0.434809596E+00     0.516179224E+00     0.286843859E+00     0.204061147E+00     0.390164565E-01    -0.945067941E-01
    -0.985235630E+00     0.435045823E+00     0.514315196E+00     0.284517155E+00     0.204060498E+00     0.381223648E-01    -0.975582792E-01
    -0.984951050E+00     0.435317188E+00     0.512119676E+00     0.281928791E+00     0.204170152E+00     0.372292612E-01    -0.100555366E+00
    -0.984663780E+00     0.435612917E+00     0.509603966E+00     0.279093735E+00     0.204381517E+00     0.363376718E-01    -0.103489910E+00
    -0.984373810E+00     0.435922320E+00     0.506780423E+00     0.276027192E+00     0.204685275E+00     0.354479813E-01    -0.106354215E+00
    -0.984081150E+00     0.436234810E+00     0.503662744E+00     0.272744954E+00     0.205071438E+00     0.345605585E-01    -0.109140665E+00
    -0.983785790E+00     0.436539999E+00     0.500265507E+00     0.269262927E+00     0.205529476E+00     0.336756353E-01    -0.111842154E+00
    -0.983487750E+00     0.436827706E+00     0.496604648E+00     0.265597654E+00     0.206048336E+00     0.327934604E-01    -0.114451653E+00
    -0.983187010E+00     0.437088078E+00     0.492696557E+00     0.261765425E+00     0.206616642E+00     0.319140922E-01    -0.116962877E+00
    -0.982883580E+00     0.437311574E+00     0.488558839E+00     0.257783070E+00     0.207222672E+00     0.310376099E-01    -0.119369695E+00
    -0.982577460E+00     0.437489056E+00     0.484209741E+00     0.253667424E+00     0.207854510E+00     0.301639979E-01    -0.121666507E+00
    -0.982268650E+00     0.437611821E+00     0.479668182E+00     0.249435388E+00     0.208500123E+00     0.292931788E-01    -0.123848189E+00
    -0.981957150E+00     0.437671650E+00     0.474953666E+00     0.245103875E+00     0.209147450E+00     0.284250167E-01    -0.125910113E+00
    -0.981642960E+00     0.437660849E+00     0.470086186E+00     0.240689760E+00     0.209784483E+00     0.275593211E-01    -0.127848167E+00
    -0.981326090E+00     0.437572285E+00     0.465086289E+00     0.236209962E+00     0.210399339E+00     0.266958776E-01    -0.129658726E+00
    -0.981006530E+00     0.437399422E+00     0.459974508E+00     0.231680970E+00     0.210980400E+00     0.258343699E-01    -0.131338835E+00
    -0.980684290E+00     0.437136357E+00     0.454771894E+00     0.227119346E+00     0.211516310E+00     0.249744930E-01    -0.132885996E+00
    -0.980359360E+00     0.436777827E+00     0.449499283E+00     0.222541116E+00     0.211996129E+00     0.241158496E-01    -0.134298392E+00
    -0.980031750E+00     0.436319265E+00     0.444177840E+00     0.217962274E+00     0.212409336E+00     0.232580610E-01    -0.135574696E+00
    -0.979701460E+00     0.435756794E+00     0.438828483E+00     0.213398311E+00     0.212745947E+00     0.224006910E-01    -0.136714222E+00
    -0.979368490E+00     0.435087248E+00     0.433471944E+00     0.208864307E+00     0.212996559E+00     0.215432780E-01    -0.137716873E+00
    -0.979032840E+00     0.434308179E+00     0.428128679E+00     0.204374879E+00     0.213152409E+00     0.206853381E-01    -0.138583140E+00
    -0.978694500E+00     0.433417841E+00     0.422818622E+00     0.199944008E+00     0.213205427E+00     0.198263450E-01    -0.139314114E+00
    -0.978353490E+00     0.432415300E+00     0.417561719E+00     0.195585517E+00     0.213148280E+00     0.189658350E-01    -0.139911398E+00
    -0.978009800E+00     0.431300268E+00     0.412376903E+00     0.191312237E+00     0.212974425E+00     0.181032590E-01    -0.140377225E+00
    -0.977663440E+00     0.430073243E+00     0.407282786E+00     0.187136619E+00     0.212678142E+00     0.172381132E-01    -0.140714343E+00
    -0.977314400E+00     0.428735366E+00     0.402296978E+00     0.183070192E+00     0.212254549E+00     0.163698427E-01    -0.140926055E+00
    -0.976962680E+00     0.427288503E+00     0.397436464E+00     0.179123909E+00     0.211699640E+00     0.154979203E-01    -0.141016158E+00
    -0.976608290E+00     0.425735246E+00     0.392717509E+00     0.175308085E+00     0.211010321E+00     0.146218497E-01    -0.140988941E+00
    -0.976251230E+00     0.424078804E+00     0.388155320E+00     0.171632146E+00     0.210184391E+00     0.137411198E-01    -0.140849163E+00
    -0.975891490E+00     0.422322967E+00     0.383764003E+00     0.168104629E+00     0.209220533E+00     0.128552081E-01    -0.140602006E+00
    -0.975529090E+00     0.420472272E+00     0.379556996E+00     0.164733538E+00     0.208118418E+00     0.119636823E-01    -0.140253082E+00
    -0.975164010E+00     0.418531625E+00     0.375546177E+00     0.161525659E+00     0.206878508E+00     0.110660310E-01    -0.139808341E+00
    -0.974796270E+00     0.416506672E+00     0.371742746E+00     0.158487282E+00     0.205502284E+00     0.101618635E-01    -0.139274115E+00
    -0.974425860E+00     0.414403394E+00     0.368156403E+00     0.155623562E+00     0.203992002E+00     0.925073987E-02    -0.138657004E+00
    -0.974052780E+00     0.412228279E+00     0.364795760E+00     0.152938864E+00     0.202350801E+00     0.833227176E-02    -0.137963887E+00
    -0.973677030E+00     0.409988221E+00     0.361668199E+00     0.150436668E+00     0.200582643E+00     0.740609995E-02    -0.137201869E+00
    -0.973298620E+00     0.407690544E+00     0.358779929E+00     0.148119627E+00     0.198692330E+00     0.647192081E-02    -0.136378266E+00
    -0.972917550E+00     0.405342827E+00     0.356135799E+00     0.145989430E+00     0.196685372E+00     0.552943863E-02    -0.135500526E+00
    -0.972533810E+00     0.402952855E+00     0.353739328E+00     0.144046838E+00     0.194567931E+00     0.457836684E-02    -0.134576178E+00
    -0.972147420E+00     0.400528819E+00     0.351592945E+00     0.142291888E+00     0.192346998E+00     0.361852820E-02    -0.133612889E+00
    -0.971758360E+00     0.398078827E+00     0.349697571E+00     0.140723562E+00     0.190029949E+00     0.264968213E-02    -0.132618255E+00
    -0.971366640E+00     0.395611289E+00     0.348053041E+00     0.139340136E+00     0.187624888E+00     0.167169901E-02    -0.131599928E+00
    -0.970972260E+00     0.393134620E+00     0.346657884E+00     0.138139010E+00     0.185140363E+00     0.684461282E-03    -0.130565481E+00
    -0.970575230E+00     0.390657309E+00     0.345509438E+00     0.137116803E+00     0.182585428E+00    -0.312086473E-03    -0.129522415E+00
    -0.970175540E+00     0.388187681E+00     0.344603781E+00     0.136269298E+00     0.179969390E+00    -0.131801287E-02    -0.128478039E+00
    -0.969773200E+00     0.385734098E+00     0.343935887E+00     0.135591575E+00     0.177301997E+00    -0.233329963E-02    -0.127439543E+00
    -0.969368200E+00     0.383304660E+00     0.343499573E+00     0.135077958E+00     0.174593119E+00    -0.335794282E-02    -0.126413850E+00
    -0.968960540E+00     0.380907345E+00     0.343287604E+00     0.134722107E+00     0.171852874E+00    -0.439187798E-02    -0.125407664E+00
    -0.968550240E+00     0.378550012E+00     0.343291717E+00     0.134517043E+00     0.169091635E+00    -0.543495534E-02    -0.124427452E+00
    -0.968137280E+00     0.376240008E+00     0.343502667E+00     0.134455152E+00     0.166319556E+00    -0.648709341E-02    -0.123479270E+00
    -0.967721680E+00     0.373984589E+00     0.343910289E+00     0.134528270E+00     0.163547045E+00    -0.754807691E-02    -0.122568923E+00
    -0.967303430E+00     0.371790479E+00     0.344503584E+00     0.134727705E+00     0.160784230E+00    -0.861773644E-02    -0.121701774E+00
    -0.966882530E+00     0.369664063E+00     0.345270765E+00     0.135044296E+00     0.158041159E+00    -0.969584826E-02    -0.120882811E+00
    -0.966458980E+00     0.367611289E+00     0.346199337E+00     0.135468459E+00     0.155327674E+00    -0.107821614E-01    -0.120116599E+00
    -0.966032790E+00     0.365637688E+00     0.347276134E+00     0.135990219E+00     0.152653415E+00    -0.118763740E-01    -0.119407278E+00
    -0.965603950E+00     0.363748199E+00     0.348487477E+00     0.136599300E+00     0.150027564E+00    -0.129782122E-01    -0.118758492E+00
    -0.965172470E+00     0.361947330E+00     0.349819147E+00     0.137285131E+00     0.147459049E+00    -0.140873296E-01    -0.118173442E+00
    -0.964738350E+00     0.360239000E+00     0.351256540E+00     0.138036932E+00     0.144956296E+00    -0.152033863E-01    -0.117654821E+00
    -0.964301590E+00     0.358626565E+00     0.352784732E+00     0.138843762E+00     0.142527250E+00    -0.163260257E-01    -0.117204828E+00
    -0.963862190E+00     0.357112803E+00     0.354388551E+00     0.139694571E+00     0.140179324E+00    -0.174548767E-01    -0.116825156E+00
    -0.963420160E+00     0.355699936E+00     0.356052627E+00     0.140578232E+00     0.137919409E+00    -0.185895303E-01    -0.116516996E+00
    -0.962975480E+00     0.354389494E+00     0.357761626E+00     0.141483680E+00     0.135753634E+00    -0.197296446E-01    -0.116281015E+00
    -0.962528170E+00     0.353182527E+00     0.359500063E+00     0.142399823E+00     0.133687683E+00    -0.208747676E-01    -0.116117396E+00
    -0.962078230E+00     0.352079420E+00     0.361252613E+00     0.143315714E+00     0.131726462E+00    -0.220244934E-01    -0.116025808E+00
    -0.961625650E+00     0.351079941E+00     0.363004157E+00     0.144220589E+00     0.129874141E+00    -0.231784388E-01    -0.116005429E+00
    -0.961170440E+00     0.350183311E+00     0.364739741E+00     0.145103853E+00     0.128134254E+00    -0.243361689E-01    -0.116054961E+00
    -0.960712600E+00     0.349388148E+00     0.366444771E+00     0.145955192E+00     0.126509560E+00    -0.254972761E-01    -0.116172636E+00
    -0.960252140E+00     0.348692519E+00     0.368105013E+00     0.146764585E+00     0.125002102E+00    -0.266613313E-01    -0.116356234E+00
    -0.959789040E+00     0.348093896E+00     0.369706806E+00     0.147522420E+00     0.123613080E+00    -0.278279870E-01    -0.116603116E+00
    -0.959323320E+00     0.347589285E+00     0.371236885E+00     0.148219417E+00     0.122343070E+00    -0.289968030E-01    -0.116910218E+00
    -0.958854970E+00     0.347175147E+00     0.372682689E+00     0.148846790E+00     0.121191808E+00    -0.301674242E-01    -0.117274107E+00
    -0.958383990E+00     0.346847480E+00     0.374032284E+00     0.149396216E+00     0.120158327E+00    -0.313394821E-01    -0.117690989E+00
    -0.957910400E+00     0.346601848E+00     0.375274405E+00     0.149859875E+00     0.119240972E+00    -0.325125720E-01    -0.118156717E+00
    -0.957434180E+00     0.346433376E+00     0.376398671E+00     0.150230545E+00     0.118437300E+00    -0.336864037E-01    -0.118666884E+00
    -0.956955340E+00     0.346336825E+00     0.377395443E+00     0.150501560E+00     0.117744244E+00    -0.348606288E-01    -0.119216786E+00
    -0.956473880E+00     0.346306612E+00     0.378255974E+00     0.150666878E+00     0.117158060E+00    -0.360349416E-01    -0.119801493E+00
    -0.955989810E+00     0.346336846E+00     0.378972412E+00     0.150721099E+00     0.116674388E+00    -0.372090312E-01    -0.120415862E+00
    -0.955503120E+00     0.346421377E+00     0.379537876E+00     0.150659487E+00     0.116288252E+00    -0.383826553E-01    -0.121054610E+00
    -0.955013810E+00     0.346553833E+00     0.379946434E+00     0.150477982E+00     0.115994137E+00    -0.395555680E-01    -0.121712312E+00
    -0.954521890E+00     0.346727661E+00     0.380193141E+00     0.150173229E+00     0.115786016E+00    -0.407275213E-01    -0.122383436E+00
    -0.954027360E+00     0.346936174E+00     0.380274077E+00     0.149742575E+00     0.115657385E+00    -0.418983139E-01    -0.123062410E+00
    -0.953530220E+00     0.347172598E+00     0.380186341E+00     0.149184085E+00     0.115601318E+00    -0.430677669E-01    -0.123743641E+00
    -0.953030460E+00     0.347430114E+00     0.379928057E+00     0.148496525E+00     0.115610513E+00    -0.442357482E-01    -0.124421568E+00
    -0.952528100E+00     0.347701891E+00     0.379498393E+00     0.147679424E+00     0.115677347E+00    -0.454020786E-01    -0.125090648E+00
    -0.952023130E+00     0.347981154E+00     0.378897532E+00     0.146732986E+00     0.115793922E+00    -0.465666724E-01    -0.125745465E+00
    -0.951515560E+00     0.348261202E+00     0.378126690E+00     0.145658157E+00     0.115952123E+00    -0.477294211E-01    -0.126380708E+00
    -0.951005380E+00     0.348535479E+00     0.377188060E+00     0.144456544E+00     0.116143675E+00    -0.488902847E-01    -0.126991250E+00
    -0.950492600E+00     0.348797585E+00     0.376084845E+00     0.143130482E+00     0.116360189E+00    -0.500492005E-01    -0.127572135E+00
    -0.949977220E+00     0.349041338E+00     0.374821193E+00     0.141682954E+00     0.116593228E+00    -0.512061507E-01    -0.128118645E+00
    -0.949459240E+00     0.349260807E+00     0.373402173E+00     0.140117587E+00     0.116834356E+00    -0.523611388E-01    -0.128626320E+00
    -0.948938660E+00     0.349450348E+00     0.371833745E+00     0.138438636E+00     0.117075196E+00    -0.535141893E-01    -0.129090985E+00
    -0.948415480E+00     0.349604637E+00     0.370122717E+00     0.136650946E+00     0.117307484E+00    -0.546653465E-01    -0.129508776E+00
    -0.947889710E+00     0.349718703E+00     0.368276738E+00     0.134759969E+00     0.117523113E+00    -0.558146520E-01    -0.129876159E+00
    -0.947361340E+00     0.349787964E+00     0.366304147E+00     0.132771620E+00     0.117714203E+00    -0.569622090E-01    -0.130189976E+00
    -0.946830380E+00     0.349808246E+00     0.364214061E+00     0.130692386E+00     0.117873130E+00    -0.581080941E-01    -0.130447432E+00
    -0.946296830E+00     0.349775816E+00     0.362016209E+00     0.128529178E+00     0.117992588E+00    -0.592524216E-01    -0.130646139E+00
    -0.945760680E+00     0.349687394E+00     0.359720870E+00     0.126289287E+00     0.118065628E+00    -0.603953414E-01    -0.130784122E+00
