#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 unknown 
# Used material is:
 unknown 
# Number of phase matrix elements : 
 4 
# number of wavelengths 
   186
#  lambda         nteta          Cext               SSA                g 
 1.8300000e+00      145       7.9791513e+01          9.8247402e-01          -32768.0 
 1.8400000e+00      146       7.9809826e+01          9.8134195e-01          -32768.0 
 1.8500000e+00      144       7.9828046e+01          9.7714979e-01          -32768.0 
 1.8600000e+00      143       7.9846263e+01          9.6600862e-01          -32768.0 
 1.8700000e+00      142       7.9863945e+01          9.4443461e-01          -32768.0 
 1.8800000e+00      140       7.9881308e+01          9.2173652e-01          -32768.0 
 1.8900000e+00      137       7.9898673e+01          9.0229073e-01          -32768.0 
 1.9000000e+00      138       7.9916193e+01          8.8706147e-01          -32768.0 
 1.9100000e+00      138       7.9931995e+01          8.4577500e-01          -32768.0 
 1.9200000e+00      139       7.9949197e+01          8.3537435e-01          -32768.0 
 1.9300000e+00      139       7.9966808e+01          8.3115281e-01          -32768.0 
 1.9400000e+00      138       7.9984708e+01          8.3161988e-01          -32768.0 
 1.9500000e+00      139       8.0002913e+01          8.3664242e-01          -32768.0 
 1.9600000e+00      139       8.0021545e+01          8.4776913e-01          -32768.0 
 1.9700000e+00      138       8.0040335e+01          8.6053606e-01          -32768.0 
 1.9800000e+00      137       8.0058871e+01          8.6904499e-01          -32768.0 
 1.9900000e+00      138       8.0077636e+01          8.8158020e-01          -32768.0 
 2.0000000e+00      138       8.0096481e+01          8.9486668e-01          -32768.0 
 2.0100000e+00      138       8.0115175e+01          9.0514959e-01          -32768.0 
 2.0200000e+00      137       8.0133823e+01          9.1452187e-01          -32768.0 
 2.0300000e+00      137       8.0152366e+01          9.2178118e-01          -32768.0 
 2.0400000e+00      136       8.0170744e+01          9.2621167e-01          -32768.0 
 2.0500000e+00      137       8.0189196e+01          9.3225873e-01          -32768.0 
 2.0600000e+00      136       8.0207636e+01          9.3776324e-01          -32768.0 
 2.0700000e+00      137       8.0226044e+01          9.4263639e-01          -32768.0 
 2.0800000e+00      138       8.0244428e+01          9.4699139e-01          -32768.0 
 2.0900000e+00      138       8.0262811e+01          9.5104213e-01          -32768.0 
 2.1000000e+00      137       8.0281124e+01          9.5358235e-01          -32768.0 
 2.1100000e+00      138       8.0299425e+01          9.5606057e-01          -32768.0 
 2.1200000e+00      135       8.0317726e+01          9.5838285e-01          -32768.0 
 2.1300000e+00      133       8.0336054e+01          9.6042720e-01          -32768.0 
 2.1400000e+00      133       8.0354347e+01          9.6191488e-01          -32768.0 
 2.1500000e+00      133       8.0372660e+01          9.6322762e-01          -32768.0 
