#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 opac_waso70
# Number of phase matrix elements :
           4
# number of wavelengths
           1
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00    901     0.790283684E-02     0.981127676E+00    -0.327680000E+05
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.607663953E+00     0.136139667E+00    -0.199845319E-01    -0.299173274E-01     0.454028259E-01
    -0.604886451E+00     0.136087931E+00    -0.195316391E-01    -0.302398131E-01     0.452062605E-01
    -0.602101571E+00     0.136040595E+00    -0.190776003E-01    -0.305621552E-01     0.450097319E-01
    -0.599309346E+00     0.135997669E+00    -0.186223770E-01    -0.308843562E-01     0.448132382E-01
    -0.596509810E+00     0.135959161E+00    -0.181659307E-01    -0.312064186E-01     0.446167766E-01
    -0.593702999E+00     0.135925082E+00    -0.177082225E-01    -0.315283453E-01     0.444203436E-01
    -0.590888945E+00     0.135895443E+00    -0.172492134E-01    -0.318501391E-01     0.442239353E-01
    -0.588067683E+00     0.135870253E+00    -0.167888639E-01    -0.321718032E-01     0.440275470E-01
    -0.585239248E+00     0.135849524E+00    -0.163271345E-01    -0.324933408E-01     0.438311738E-01
    -0.582403674E+00     0.135833270E+00    -0.158639854E-01    -0.328147556E-01     0.436348102E-01
    -0.579560995E+00     0.135821501E+00    -0.153993765E-01    -0.331360514E-01     0.434384502E-01
    -0.576711247E+00     0.135814231E+00    -0.149332676E-01    -0.334572326E-01     0.432420877E-01
    -0.573854464E+00     0.135811474E+00    -0.144656182E-01    -0.337783036E-01     0.430457164E-01
