#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           1
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00    901     0.859542345E+03     0.999999468E+00    -0.327680000E+05
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.938726490E+00     0.116114789E+00     0.624594427E-02     0.837137437E-02     0.100343734E-01
    -0.937516999E+00     0.116668385E+00     0.675851477E-02     0.819170479E-02     0.101906412E-01
    -0.936296072E+00     0.117220395E+00     0.726284192E-02     0.804145102E-02     0.103010189E-01
    -0.935063724E+00     0.117774088E+00     0.775728360E-02     0.790941019E-02     0.103583236E-01
    -0.933819970E+00     0.118336376E+00     0.825149760E-02     0.778534123E-02     0.103531533E-01
    -0.932564825E+00     0.118910593E+00     0.876149513E-02     0.765661489E-02     0.102688778E-01
    -0.931298304E+00     0.119492881E+00     0.929913296E-02     0.750302168E-02     0.100913490E-01
    -0.930020423E+00     0.120075203E+00     0.986532087E-02     0.729953083E-02     0.982209509E-02
    -0.928731197E+00     0.120652849E+00     0.104539704E-01     0.702330204E-02     0.947863101E-02
    -0.927430642E+00     0.121229352E+00     0.110623941E-01     0.665513161E-02     0.908158670E-02
    -0.926118775E+00     0.121813131E+00     0.116969570E-01     0.617483800E-02     0.864408816E-02
    -0.924795610E+00     0.122409952E+00     0.123691118E-01     0.555885650E-02     0.817565027E-02
    -0.923461165E+00     0.123021446E+00     0.130874880E-01     0.478438248E-02     0.769619080E-02
    -0.922115455E+00     0.123651563E+00     0.138533102E-01     0.383604840E-02     0.724520114E-02
    -0.920758496E+00     0.124310749E+00     0.146602531E-01     0.271039935E-02     0.687692539E-02
    -0.919390307E+00     0.125010145E+00     0.154962861E-01     0.141806115E-02     0.664658761E-02
    -0.918010902E+00     0.125752112E+00     0.163466464E-01    -0.153286443E-04     0.660005950E-02
    -0.916620299E+00     0.126528936E+00     0.171978216E-01    -0.155042476E-02     0.677341629E-02
    -0.915218515E+00     0.127331651E+00     0.180403073E-01    -0.313799633E-02     0.719759375E-02
    -0.913805567E+00     0.128159237E+00     0.188673754E-01    -0.472223876E-02     0.789957876E-02
    -0.912381472E+00     0.129018148E+00     0.196702327E-01    -0.624038214E-02     0.889729129E-02
    -0.910946247E+00     0.129911710E+00     0.204335541E-01    -0.761999227E-02     0.101914433E-01
    -0.909499911E+00     0.130828703E+00     0.211356661E-01    -0.877926672E-02     0.117584423E-01
    -0.908042480E+00     0.131742149E+00     0.217540213E-01    -0.963357742E-02     0.135467842E-01
    -0.906573973E+00     0.132620406E+00     0.222721726E-01    -0.101057367E-01     0.154783156E-01
    -0.905094408E+00     0.133440840E+00     0.226836732E-01    -0.101348415E-01     0.174541313E-01
    -0.903603801E+00     0.134194176E+00     0.229916432E-01    -0.968147890E-02     0.193621625E-01
    -0.902102173E+00     0.134877377E+00     0.232059810E-01    -0.873128940E-02     0.210823242E-01
    -0.900589540E+00     0.135483645E+00     0.233407156E-01    -0.729955152E-02     0.224880614E-01
    -0.899065922E+00     0.135999486E+00     0.234131359E-01    -0.543630999E-02     0.234480965E-01
    -0.897531336E+00     0.136411306E+00     0.234452973E-01    -0.322882500E-02     0.238330185E-01
    -0.895985803E+00     0.136715989E+00     0.234669050E-01    -0.799594311E-03     0.235266043E-01
    -0.894429340E+00     0.136927798E+00     0.235171790E-01     0.169818436E-02     0.224378842E-01
    -0.892861966E+00     0.137078160E+00     0.236436562E-01     0.408563118E-02     0.205116896E-01
    -0.891283701E+00     0.137210616E+00     0.238977684E-01     0.616491131E-02     0.177383221E-01
    -0.889694564E+00     0.137375418E+00     0.243289137E-01     0.772953319E-02     0.141614483E-01
    -0.888094575E+00     0.137625853E+00     0.249794391E-01     0.857600444E-02     0.988076086E-02
    -0.886483752E+00     0.138015726E+00     0.258818959E-01     0.851287906E-02     0.504874280E-02
    -0.884862115E+00     0.138597772E+00     0.270578997E-01     0.736870092E-02    -0.134353756E-03
    -0.883229685E+00     0.139424199E+00     0.285173654E-01     0.500539859E-02    -0.542508104E-02
    -0.881586481E+00     0.140548849E+00     0.302584335E-01     0.133851300E-02    -0.105448913E-01
    -0.879932524E+00     0.142026436E+00     0.322687004E-01    -0.364471047E-02    -0.151955236E-01
    -0.878267832E+00     0.143903135E+00     0.345253252E-01    -0.987943417E-02    -0.190780147E-01
    -0.876592427E+00     0.146198637E+00     0.369900427E-01    -0.172287921E-01    -0.219079003E-01
    -0.874906330E+00     0.148890102E+00     0.396005762E-01    -0.254908499E-01    -0.234249542E-01
    -0.873209560E+00     0.151912427E+00     0.422678111E-01    -0.344006665E-01    -0.234040207E-01
    -0.871502138E+00     0.155177723E+00     0.448867806E-01    -0.436326543E-01    -0.216736093E-01
    -0.869784086E+00     0.158597600E+00     0.473566022E-01    -0.528123833E-01    -0.181397937E-01
    -0.868055424E+00     0.162086502E+00     0.495933284E-01    -0.615382220E-01    -0.128046455E-01
    -0.866316173E+00     0.165542778E+00     0.515247108E-01    -0.694037580E-01    -0.577049512E-02
    -0.864566355E+00     0.168828232E+00     0.530741882E-01    -0.760142855E-01     0.276843719E-02
    -0.862805990E+00     0.171770115E+00     0.541541397E-01    -0.810009374E-01     0.125379512E-01
    -0.861035101E+00     0.174188786E+00     0.546810216E-01    -0.840403609E-01     0.231925038E-01
    -0.859253708E+00     0.175931631E+00     0.546032821E-01    -0.848808005E-01     0.343220315E-01
    -0.857461835E+00     0.176890160E+00     0.539185769E-01    -0.833661630E-01     0.454631826E-01
    -0.855659501E+00     0.176993920E+00     0.526656309E-01    -0.794490787E-01     0.561187887E-01
    -0.853846730E+00     0.176195798E+00     0.509002233E-01    -0.731916558E-01     0.657845399E-01
    -0.852023544E+00     0.174469350E+00     0.486794472E-01    -0.647594880E-01     0.739787080E-01
    -0.850189965E+00     0.171824605E+00     0.460688337E-01    -0.544151549E-01     0.802693363E-01
    -0.848346015E+00     0.168328730E+00     0.431634606E-01    -0.425133606E-01     0.842940947E-01
    -0.846491716E+00     0.164112123E+00     0.400997678E-01    -0.294946040E-01     0.857721264E-01
    -0.844627092E+00     0.159354488E+00     0.370430589E-01    -0.158721103E-01     0.845124086E-01
    -0.842752164E+00     0.154265015E+00     0.341590929E-01    -0.220986332E-02     0.804245356E-01
    -0.840866957E+00     0.149074326E+00     0.315933423E-01     0.109056433E-01     0.735322433E-01
    -0.838971493E+00     0.144038122E+00     0.294716937E-01     0.228954353E-01     0.639807935E-01
    -0.837065794E+00     0.139435149E+00     0.279127802E-01     0.332152557E-01     0.520275887E-01
    -0.835149885E+00     0.135548739E+00     0.270325446E-01     0.413752277E-01     0.380177501E-01
    -0.833223789E+00     0.132643261E+00     0.269351355E-01     0.469506121E-01     0.223610554E-01
    -0.831287528E+00     0.130953753E+00     0.277006986E-01     0.495898919E-01     0.552378225E-02
    -0.829341128E+00     0.130689168E+00     0.293799448E-01     0.490293117E-01    -0.119717709E-01
    -0.827384611E+00     0.132031880E+00     0.319932056E-01     0.451134657E-01    -0.295616765E-01
    -0.825418001E+00     0.135122767E+00     0.355273586E-01     0.378084860E-01    -0.466781296E-01
    -0.823441323E+00     0.140042056E+00     0.399322202E-01     0.271957723E-01    -0.627931517E-01
    -0.821454600E+00     0.146802404E+00     0.451244100E-01     0.134516977E-01    -0.774414799E-01
    -0.819457857E+00     0.155355520E+00     0.510002622E-01    -0.316826464E-02    -0.902169562E-01
    -0.817451117E+00     0.165600029E+00     0.574484427E-01    -0.223310822E-01    -0.100764182E+00
    -0.815434407E+00     0.177383516E+00     0.643526848E-01    -0.436239454E-01    -0.108788683E+00
    -0.813407749E+00     0.190504502E+00     0.715858008E-01    -0.665666778E-01    -0.114083252E+00
    -0.811371170E+00     0.204721116E+00     0.790044130E-01    -0.906431006E-01    -0.116546513E+00
    -0.809324693E+00     0.219763756E+00     0.864518235E-01    -0.115336395E+00    -0.116176799E+00
    -0.807268344E+00     0.235345090E+00     0.937691010E-01    -0.140150339E+00    -0.113049511E+00
    -0.805202147E+00     0.251166401E+00     0.100808609E+00    -0.164612670E+00    -0.107299095E+00
    -0.803126129E+00     0.266923187E+00     0.107442209E+00    -0.188271792E+00    -0.991156571E-01
    -0.801040314E+00     0.282310536E+00     0.113560068E+00    -0.210699749E+00    -0.887478220E-01
    -0.798944727E+00     0.297027994E+00     0.119064559E+00    -0.231505324E+00    -0.764985704E-01
    -0.796839395E+00     0.310787859E+00     0.123868511E+00    -0.250352286E+00    -0.627104213E-01
    -0.794724343E+00     0.323330832E+00     0.127900822E+00    -0.266975401E+00    -0.477460160E-01
    -0.792599596E+00     0.334443888E+00     0.131112332E+00    -0.281188752E+00    -0.319703897E-01
    -0.790465181E+00     0.343967663E+00     0.133474814E+00    -0.292883528E+00    -0.157366746E-01
    -0.788321124E+00     0.351787128E+00     0.134975905E+00    -0.302015563E+00     0.624442523E-03
    -0.786167451E+00     0.357815069E+00     0.135618121E+00    -0.308587582E+00     0.168096838E-01
    -0.784004188E+00     0.361984555E+00     0.135422897E+00    -0.312635291E+00     0.325416971E-01
    -0.781831362E+00     0.364256196E+00     0.134431261E+00    -0.314225742E+00     0.475652595E-01
    -0.779648998E+00     0.364631016E+00     0.132695427E+00    -0.313467858E+00     0.616494125E-01
    -0.777457124E+00     0.363156714E+00     0.130267676E+00    -0.310522970E+00     0.746001742E-01
    -0.775255767E+00     0.359923044E+00     0.127198247E+00    -0.305599272E+00     0.862769393E-01
    -0.773044953E+00     0.355049428E+00     0.123544594E+00    -0.298926782E+00     0.965973812E-01
    -0.770824709E+00     0.348670074E+00     0.119381077E+00    -0.290729026E+00     0.105523024E+00
    -0.768595062E+00     0.340922683E+00     0.114796851E+00    -0.281212701E+00     0.113036280E+00
    -0.766356040E+00     0.331946322E+00     0.109881489E+00    -0.270579276E+00     0.119128965E+00
    -0.764107670E+00     0.321887694E+00     0.104709692E+00    -0.259040883E+00     0.123810373E+00
    -0.761849979E+00     0.310907145E+00     0.993372389E-01    -0.246820475E+00     0.127123210E+00
    -0.759582994E+00     0.299176279E+00     0.938109974E-01    -0.234134310E+00     0.129149327E+00
    -0.757306744E+00     0.286867738E+00     0.881841402E-01    -0.221172919E+00     0.129998099E+00
    -0.755021257E+00     0.274144005E+00     0.825226060E-01    -0.208096038E+00     0.129785727E+00
    -0.752726559E+00     0.261150878E+00     0.768958817E-01    -0.195041105E+00     0.128620528E+00
    -0.750422679E+00     0.248017517E+00     0.713602275E-01    -0.182133248E+00     0.126603061E+00
    -0.748109646E+00     0.234861864E+00     0.659506165E-01    -0.169488120E+00     0.123836075E+00
    -0.745787487E+00     0.221796587E+00     0.606883840E-01    -0.157208680E+00     0.120430771E+00
    -0.743456231E+00     0.208929115E+00     0.555945794E-01    -0.145380457E+00     0.116501726E+00
    -0.741115906E+00     0.196354586E+00     0.506946144E-01    -0.134068124E+00     0.112156630E+00
    -0.738766540E+00     0.184148957E+00     0.460123010E-01    -0.123315678E+00     0.107492099E+00
    -0.736408163E+00     0.172369917E+00     0.415634268E-01    -0.113151495E+00     0.102597802E+00
    -0.734040803E+00     0.161064260E+00     0.373563351E-01    -0.103595126E+00     0.975605517E-01
    -0.731664489E+00     0.150273582E+00     0.333964743E-01    -0.946600932E-01     0.924613494E-01
    -0.729279250E+00     0.140033393E+00     0.296883065E-01    -0.863516931E-01     0.873682696E-01
    -0.726885115E+00     0.130368365E+00     0.262332270E-01    -0.786648689E-01     0.823331939E-01
    -0.724482113E+00     0.121289669E+00     0.230270601E-01    -0.715860901E-01     0.773960215E-01
    -0.722070274E+00     0.112797284E+00     0.200602302E-01    -0.650968444E-01     0.725925624E-01
    -0.719649627E+00     0.104884993E+00     0.173208605E-01    -0.591745433E-01     0.679590555E-01
