#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           4
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00   2800     0.697526463E+02     0.999999795E+00     0.841898766E+00
     0.190493500E+01   2800     0.799866099E+02     0.968812977E+00     0.797054568E+00
     0.194193100E+01   2800     0.804542378E+02     0.959473806E+00     0.800221082E+00
     0.198039200E+01   2800     0.809846184E+02     0.969110234E+00     0.799412927E+00
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.995040956E+00     0.342865328E+00     0.164176045E+00     0.900034883E-01     0.532423560E-01
    -0.994928669E+00     0.338702888E+00     0.161191549E+00     0.890259602E-01     0.529590662E-01
    -0.994815128E+00     0.334620540E+00     0.158304239E+00     0.880592826E-01     0.526506950E-01
    -0.994700333E+00     0.330619654E+00     0.155514222E+00     0.871071529E-01     0.523194991E-01
    -0.994584284E+00     0.326701515E+00     0.152820963E+00     0.861730291E-01     0.519676206E-01
    -0.994466983E+00     0.322867344E+00     0.150223284E+00     0.852601207E-01     0.515971262E-01
    -0.994348428E+00     0.319118317E+00     0.147719362E+00     0.843713771E-01     0.512100471E-01
    -0.994228620E+00     0.315455570E+00     0.145306734E+00     0.835094762E-01     0.508084174E-01
    -0.994107559E+00     0.311880209E+00     0.142982311E+00     0.826768106E-01     0.503943095E-01
    -0.993985245E+00     0.308393306E+00     0.140742399E+00     0.818754749E-01     0.499698664E-01
    -0.993861678E+00     0.304995893E+00     0.138582733E+00     0.811072521E-01     0.495373278E-01
    -0.993736859E+00     0.301688952E+00     0.136498516E+00     0.803736018E-01     0.490990508E-01
    -0.993610788E+00     0.298473400E+00     0.134484475E+00     0.796756496E-01     0.486575239E-01
    -0.993483464E+00     0.295350074E+00     0.132534926E+00     0.790141780E-01     0.482153723E-01
    -0.993354889E+00     0.292319708E+00     0.130643848E+00     0.783896194E-01     0.477753557E-01
    -0.993225061E+00     0.289382909E+00     0.128804974E+00     0.778020519E-01     0.473403575E-01
    -0.993093982E+00     0.286540136E+00     0.127011880E+00     0.772511974E-01     0.469133654E-01
    -0.992961652E+00     0.283791668E+00     0.125258094E+00     0.767364223E-01     0.464974444E-01
