#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00      8   1900     0.356587649E+00     0.200000522E+01     0.100000000E+01     0.100000000E+01    -0.327680000E+05
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.993492020E+00     0.546046536E+00     0.189579485E+00    -0.189957463E+00     0.164967038E+00    -0.156902600E-01    -0.284820964E-01
    -0.993302230E+00     0.546462002E+00     0.189638637E+00    -0.190038379E+00     0.165246920E+00    -0.161274592E-01    -0.292763124E-01
    -0.993109720E+00     0.546880552E+00     0.189697879E+00    -0.190120284E+00     0.165528876E+00    -0.165697654E-01    -0.300798410E-01
    -0.992914490E+00     0.547302071E+00     0.189757179E+00    -0.190203168E+00     0.165812828E+00    -0.170171309E-01    -0.308925972E-01
    -0.992716540E+00     0.547726440E+00     0.189816509E+00    -0.190287024E+00     0.166098697E+00    -0.174695074E-01    -0.317144947E-01
    -0.992515880E+00     0.548153521E+00     0.189875834E+00    -0.190371839E+00     0.166386389E+00    -0.179268233E-01    -0.325454052E-01
    -0.992312500E+00     0.548583214E+00     0.189935127E+00    -0.190457609E+00     0.166675840E+00    -0.183890521E-01    -0.333852820E-01
    -0.992106410E+00     0.549015379E+00     0.189994353E+00    -0.190544322E+00     0.166966953E+00    -0.188561215E-01    -0.342339952E-01
    -0.991897590E+00     0.549449935E+00     0.190053488E+00    -0.190631976E+00     0.167259674E+00    -0.193280261E-01    -0.350915372E-01
    -0.991686070E+00     0.549886696E+00     0.190112491E+00    -0.190720551E+00     0.167553881E+00    -0.198046475E-01    -0.359576939E-01
    -0.991471830E+00     0.550325582E+00     0.190171337E+00    -0.190810045E+00     0.167849517E+00    -0.202859795E-01    -0.368324559E-01
    -0.991254880E+00     0.550766446E+00     0.190229990E+00    -0.190900445E+00     0.168146486E+00    -0.207719476E-01    -0.377156899E-01
    -0.991035220E+00     0.551209163E+00     0.190288418E+00    -0.190991742E+00     0.168444703E+00    -0.212624996E-01    -0.386073024E-01
    -0.990812840E+00     0.551653625E+00     0.190346592E+00    -0.191083930E+00     0.168744096E+00    -0.217576050E-01    -0.395072399E-01
    -0.990587750E+00     0.552099686E+00     0.190404478E+00    -0.191176995E+00     0.169044567E+00    -0.222571881E-01    -0.404153666E-01
    -0.990359950E+00     0.552547215E+00     0.190462041E+00    -0.191270928E+00     0.169346029E+00    -0.227611951E-01    -0.413315866E-01
    -0.990129440E+00     0.552996084E+00     0.190519249E+00    -0.191365718E+00     0.169648396E+00    -0.232695718E-01    -0.422558033E-01
    -0.989896220E+00     0.553446161E+00     0.190576070E+00    -0.191461354E+00     0.169951581E+00    -0.237822635E-01    -0.431879189E-01
    -0.989660290E+00     0.553897316E+00     0.190632470E+00    -0.191557828E+00     0.170255495E+00    -0.242992149E-01    -0.441278351E-01
    -0.989421650E+00     0.554349416E+00     0.190688416E+00    -0.191655127E+00     0.170560050E+00    -0.248203704E-01    -0.450754526E-01
    -0.989180300E+00     0.554802327E+00     0.190743874E+00    -0.191753241E+00     0.170865158E+00    -0.253456738E-01    -0.460306713E-01
    -0.988936250E+00     0.555255897E+00     0.190798809E+00    -0.191852154E+00     0.171170716E+00    -0.258750470E-01    -0.469933511E-01
    -0.988689490E+00     0.555710009E+00     0.190853189E+00    -0.191951861E+00     0.171476647E+00    -0.264084546E-01    -0.479634298E-01
    -0.988440020E+00     0.556164528E+00     0.190906980E+00    -0.192052349E+00     0.171782861E+00    -0.269458392E-01    -0.489408049E-01
    -0.988187850E+00     0.556619300E+00     0.190960147E+00    -0.192153602E+00     0.172089254E+00    -0.274871215E-01    -0.499253344E-01
    -0.987932980E+00     0.557074186E+00     0.191012654E+00    -0.192255610E+00     0.172395735E+00    -0.280322433E-01    -0.509169146E-01
    -0.987675400E+00     0.557529068E+00     0.191064471E+00    -0.192358363E+00     0.172702225E+00    -0.285811674E-01    -0.519154799E-01
    -0.987415120E+00     0.557983789E+00     0.191115560E+00    -0.192461846E+00     0.173008620E+00    -0.291338133E-01    -0.529208863E-01
    -0.987152130E+00     0.558438227E+00     0.191165890E+00    -0.192566051E+00     0.173314838E+00    -0.296901429E-01    -0.539330664E-01
    -0.986886440E+00     0.558892225E+00     0.191215424E+00    -0.192670961E+00     0.173620774E+00    -0.302500750E-01    -0.549518750E-01
    -0.986618060E+00     0.559345626E+00     0.191264125E+00    -0.192776559E+00     0.173926326E+00    -0.308135286E-01    -0.559771668E-01
    -0.986346970E+00     0.559798321E+00     0.191311964E+00    -0.192882840E+00     0.174231421E+00    -0.313804850E-01    -0.570089103E-01
    -0.986073180E+00     0.560250154E+00     0.191358903E+00    -0.192989788E+00     0.174535954E+00    -0.319508624E-01    -0.580469586E-01
    -0.985796700E+00     0.560700965E+00     0.191404907E+00    -0.193097385E+00     0.174839820E+00    -0.325245786E-01    -0.590911649E-01
    -0.985517510E+00     0.561150644E+00     0.191449943E+00    -0.193205624E+00     0.175142947E+00    -0.331016135E-01    -0.601414949E-01
    -0.985235630E+00     0.561599015E+00     0.191493975E+00    -0.193314486E+00     0.175445217E+00    -0.336818636E-01    -0.611977626E-01
    -0.984951050E+00     0.562045951E+00     0.191536968E+00    -0.193423959E+00     0.175746547E+00    -0.342652873E-01    -0.622598948E-01
    -0.984663780E+00     0.562491292E+00     0.191578887E+00    -0.193534026E+00     0.176046830E+00    -0.348518013E-01    -0.633277425E-01
    -0.984373810E+00     0.562934908E+00     0.191619699E+00    -0.193644676E+00     0.176345982E+00    -0.354413632E-01    -0.644012307E-01
    -0.984081150E+00     0.563376640E+00     0.191659367E+00    -0.193755891E+00     0.176643895E+00    -0.360338892E-01    -0.654802097E-01
    -0.983785790E+00     0.563816357E+00     0.191697858E+00    -0.193867660E+00     0.176940486E+00    -0.366293359E-01    -0.665646030E-01
    -0.983487750E+00     0.564253884E+00     0.191735134E+00    -0.193979959E+00     0.177235636E+00    -0.372275992E-01    -0.676542236E-01
    -0.983187010E+00     0.564689103E+00     0.191771164E+00    -0.194092783E+00     0.177529270E+00    -0.378286550E-01    -0.687490302E-01
    -0.982883580E+00     0.565121855E+00     0.191805912E+00    -0.194206111E+00     0.177821282E+00    -0.384324186E-01    -0.698488716E-01
    -0.982577460E+00     0.565551991E+00     0.191839344E+00    -0.194319928E+00     0.178111575E+00    -0.390388254E-01    -0.709536325E-01
    -0.982268650E+00     0.565979366E+00     0.191871423E+00    -0.194434218E+00     0.178400052E+00    -0.396478102E-01    -0.720631970E-01
    -0.981957150E+00     0.566403831E+00     0.191902118E+00    -0.194548964E+00     0.178686616E+00    -0.402593076E-01    -0.731774487E-01
    -0.981642960E+00     0.566825240E+00     0.191931391E+00    -0.194664152E+00     0.178971171E+00    -0.408732520E-01    -0.742962710E-01
    -0.981326090E+00     0.567243430E+00     0.191959210E+00    -0.194779759E+00     0.179253609E+00    -0.414895580E-01    -0.754195112E-01
    -0.981006530E+00     0.567658268E+00     0.191985539E+00    -0.194895774E+00     0.179533845E+00    -0.421081790E-01    -0.765470871E-01
    -0.980684290E+00     0.568069593E+00     0.192010345E+00    -0.195012176E+00     0.179811771E+00    -0.427290292E-01    -0.776788456E-01
    -0.980359360E+00     0.568477269E+00     0.192033594E+00    -0.195128951E+00     0.180087299E+00    -0.433520615E-01    -0.788147033E-01
    -0.980031750E+00     0.568881136E+00     0.192055252E+00    -0.195246079E+00     0.180360324E+00    -0.439771896E-01    -0.799545065E-01
    -0.979701460E+00     0.569281044E+00     0.192075284E+00    -0.195363541E+00     0.180630749E+00    -0.446043468E-01    -0.810981361E-01
    -0.979368490E+00     0.569676847E+00     0.192093657E+00    -0.195481320E+00     0.180898478E+00    -0.452334658E-01    -0.822454727E-01
    -0.979032840E+00     0.570068395E+00     0.192110337E+00    -0.195599397E+00     0.181163412E+00    -0.458644793E-01    -0.833963966E-01
    -0.978694500E+00     0.570455553E+00     0.192125292E+00    -0.195717758E+00     0.181425464E+00    -0.464973382E-01    -0.845508216E-01
    -0.978353490E+00     0.570838147E+00     0.192138487E+00    -0.195836378E+00     0.181684520E+00    -0.471319373E-01    -0.857085590E-01
    -0.978009800E+00     0.571216042E+00     0.192149890E+00    -0.195955241E+00     0.181940493E+00    -0.477682274E-01    -0.868695220E-01
    -0.977663440E+00     0.571589079E+00     0.192159467E+00    -0.196074324E+00     0.182193278E+00    -0.484061218E-01    -0.880335559E-01
    -0.977314400E+00     0.571957119E+00     0.192167186E+00    -0.196193612E+00     0.182442787E+00    -0.490455707E-01    -0.892005730E-01
    -0.976962680E+00     0.572320016E+00     0.192173015E+00    -0.196313086E+00     0.182688923E+00    -0.496865055E-01    -0.903704515E-01
    -0.976608290E+00     0.572677610E+00     0.192176920E+00    -0.196432721E+00     0.182931583E+00    -0.503288393E-01    -0.915430361E-01
    -0.976251230E+00     0.573029754E+00     0.192178869E+00    -0.196552499E+00     0.183170672E+00    -0.509725034E-01    -0.927182051E-01
    -0.975891490E+00     0.573376311E+00     0.192178831E+00    -0.196672402E+00     0.183406100E+00    -0.516174469E-01    -0.938958688E-01
    -0.975529090E+00     0.573717114E+00     0.192176774E+00    -0.196792404E+00     0.183637760E+00    -0.522635650E-01    -0.950758393E-01
    -0.975164010E+00     0.574052034E+00     0.192172666E+00    -0.196912489E+00     0.183865570E+00    -0.529108242E-01    -0.962580590E-01
    -0.974796270E+00     0.574380907E+00     0.192166476E+00    -0.197032632E+00     0.184089421E+00    -0.535591198E-01    -0.974423403E-01
    -0.974425860E+00     0.574703595E+00     0.192158173E+00    -0.197152813E+00     0.184309227E+00    -0.542084003E-01    -0.986285924E-01
