#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
          15
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
      7     0.917158492E+00     0.108832303E+01     0.101274824E+01     0.894022022E+00     0.258751711E+00     0.984047089E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      4.2194
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.814077252E+00     0.000000000E+00     0.000000000E+00
      1     0.201694535E+01     0.000000000E+00     0.000000000E+00     0.194987554E+01     0.000000000E+00     0.000000000E+00
      2     0.269464979E+01     0.374067124E+01     0.345226948E+01     0.248811759E+01    -0.126252767E+00    -0.158612695E+00
      3     0.237245527E+01     0.302546403E+01     0.291778872E+01     0.219835665E+01    -0.375254742E-01     0.356719460E-01
      4     0.232075851E+01     0.263689906E+01     0.255210827E+01     0.223599053E+01     0.947895521E-01    -0.240535053E+00
      5     0.191070546E+01     0.220025176E+01     0.204756197E+01     0.184533007E+01     0.295236936E+00     0.113428623E+00
      6     0.154645412E+01     0.191247857E+01     0.170329433E+01     0.144467099E+01     0.408308858E+00    -0.401416868E-01
      7     0.907677095E+00     0.107146268E+01     0.879820376E+00     0.811079521E+00     0.370666489E+00     0.350709876E+00
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      4.2553
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.821449829E+00     0.000000000E+00     0.000000000E+00
      1     0.197688955E+01     0.000000000E+00     0.000000000E+00     0.193933683E+01     0.000000000E+00     0.000000000E+00
      2     0.264045947E+01     0.372285727E+01     0.341470625E+01     0.238929148E+01    -0.747550707E-01    -0.224760207E+00
      3     0.228797857E+01     0.288058927E+01     0.283229248E+01     0.209835483E+01    -0.267553389E-01     0.462551699E-01
      4     0.227360563E+01     0.253435950E+01     0.243961024E+01     0.206814603E+01     0.113067174E+00    -0.142987304E+00
      5     0.187528623E+01     0.205781237E+01     0.199316590E+01     0.175303375E+01     0.207141569E+00     0.312782083E+00
      6     0.145875548E+01     0.180195776E+01     0.170164312E+01     0.140095761E+01     0.348996878E+00     0.119841314E+00
      7     0.874507531E+00     0.102073503E+01     0.793606066E+00     0.725011294E+00     0.200144214E+00     0.559756106E+00
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      4.2918
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.872045045E+00     0.000000000E+00     0.000000000E+00
      1     0.195518527E+01     0.000000000E+00     0.000000000E+00     0.200393689E+01     0.000000000E+00     0.000000000E+00
      2     0.258719087E+01     0.376781255E+01     0.348608252E+01     0.242011832E+01    -0.487293927E-02    -0.206758755E+00
      3     0.218098013E+01     0.280810505E+01     0.282616293E+01     0.214315857E+01    -0.119540159E-01     0.639094457E-01
