#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
         184
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext (microns^2)       SSA              g 
     0.851079000E+00      8     0.501123389E+00     0.705039667E+03     0.999951891E+00     0.845874488E+00
     0.858385000E+00      8     0.506411190E+00     0.697024319E+03     0.999957443E+00     0.862539722E+00
     0.865817000E+00      8     0.497854885E+00     0.681009703E+03     0.999955768E+00     0.872335817E+00
     0.873379000E+00      8     0.479116882E+00     0.677083462E+03     0.999930007E+00     0.850575274E+00
     0.881074000E+00      8     0.471680000E+00     0.647853628E+03     0.999944091E+00     0.852732959E+00
     0.888906000E+00      8     0.466042878E+00     0.648254743E+03     0.999940171E+00     0.847716357E+00
     0.896879000E+00      8     0.456868854E+00     0.632185844E+03     0.999940129E+00     0.862098169E+00
     0.904996000E+00      8     0.447257192E+00     0.622326985E+03     0.999919854E+00     0.861268214E+00
     0.913261000E+00      8     0.453321273E+00     0.623981367E+03     0.999888296E+00     0.851066136E+00
     0.921679000E+00      8     0.461065776E+00     0.655237260E+03     0.999859020E+00     0.835681640E+00
     0.930253000E+00      8     0.474001297E+00     0.655354453E+03     0.999851428E+00     0.866061474E+00
     0.938988000E+00      8     0.481694230E+00     0.662393857E+03     0.999833985E+00     0.871691013E+00
     0.947889000E+00      8     0.493077230E+00     0.687783186E+03     0.999786608E+00     0.852638474E+00
     0.956960000E+00      8     0.500625810E+00     0.708855742E+03     0.999772525E+00     0.847884931E+00
     0.966206000E+00      8     0.509427611E+00     0.706577316E+03     0.999774428E+00     0.872280464E+00
     0.975633000E+00      8     0.503766295E+00     0.699231687E+03     0.999642863E+00     0.875101907E+00
     0.985246000E+00      8     0.494864475E+00     0.697502242E+03     0.999701530E+00     0.856397459E+00
     0.995050000E+00      8     0.490726945E+00     0.689931222E+03     0.999682201E+00     0.850176977E+00
     0.100505100E+01      8     0.481888116E+00     0.675683340E+03     0.999666679E+00     0.859554583E+00
     0.101525500E+01      8     0.463019433E+00     0.645819235E+03     0.999644312E+00     0.867987685E+00
     0.102566800E+01      8     0.445679218E+00     0.629559921E+03     0.999583987E+00     0.854939576E+00
     0.103629700E+01      8     0.444060706E+00     0.635470680E+03     0.999540887E+00     0.833021353E+00
     0.104714900E+01      8     0.442434052E+00     0.635831716E+03     0.999523222E+00     0.843013626E+00
     0.105823100E+01      8     0.443933382E+00     0.627987270E+03     0.999529149E+00     0.861818960E+00
     0.106954900E+01      8     0.450168975E+00     0.633606023E+03     0.999494525E+00     0.859247579E+00
     0.108111300E+01      8     0.467308193E+00     0.668662551E+03     0.999456170E+00     0.836980297E+00
     0.109292900E+01      8     0.483782563E+00     0.689603070E+03     0.999473984E+00     0.853064877E+00
     0.110500600E+01      8     0.483645855E+00     0.715189112E+03     0.998816674E+00     0.848141568E+00
     0.111735300E+01      8     0.501046744E+00     0.699293013E+03     0.999470795E+00     0.873038344E+00
     0.112998000E+01      8     0.494252249E+00     0.737306087E+03     0.999020204E+00     0.828870058E+00
     0.114289400E+01      8     0.505359248E+00     0.721881014E+03     0.999407568E+00     0.857070850E+00
