#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
         209
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
     0.956960000E+00      8     0.499960548E+00     0.710262116E+03     0.999635241E+00     0.846824491E+00
     0.966206000E+00      8     0.508516238E+00     0.703965626E+03     0.999600205E+00     0.873975187E+00
     0.975633000E+00      8     0.504860221E+00     0.696363219E+03     0.999579235E+00     0.877349437E+00
     0.985246000E+00      8     0.498453026E+00     0.706370654E+03     0.999538178E+00     0.849787983E+00
     0.995050000E+00      8     0.493534585E+00     0.699068988E+03     0.999593038E+00     0.847577454E+00
     0.100505100E+01      8     0.485184801E+00     0.677369521E+03     0.999670912E+00     0.865370173E+00
     0.101525500E+01      8     0.466379279E+00     0.649676490E+03     0.999720233E+00     0.868821767E+00
     0.102566800E+01      8     0.450819252E+00     0.642566503E+03     0.999748038E+00     0.843077704E+00
     0.103629700E+01      8     0.446596364E+00     0.639783231E+03     0.999795617E+00     0.834462277E+00
     0.104714900E+01      8     0.442470616E+00     0.631575788E+03     0.999825933E+00     0.851406718E+00
     0.105823100E+01      8     0.437782124E+00     0.619656869E+03     0.999855308E+00     0.861348241E+00
     0.106954900E+01      8     0.440454342E+00     0.632372030E+03     0.999835453E+00     0.842098851E+00
     0.108111300E+01      8     0.461965752E+00     0.662819426E+03     0.999847790E+00     0.836545698E+00
     0.109292900E+01      8     0.476794155E+00     0.679889539E+03     0.999841073E+00     0.856052235E+00
     0.110500600E+01      8     0.488098070E+00     0.684448499E+03     0.999819885E+00     0.870990765E+00
     0.111735300E+01      8     0.495646643E+00     0.694042968E+03     0.999765784E+00     0.866460939E+00
     0.112998000E+01      8     0.503482416E+00     0.721749508E+03     0.999604244E+00     0.848739464E+00
     0.114289400E+01      8     0.506329909E+00     0.722815169E+03     0.999366965E+00     0.860709599E+00
     0.115610800E+01      8     0.496907202E+00     0.704761506E+03     0.999091817E+00     0.870426639E+00
     0.116963100E+01      8     0.486565210E+00     0.682117449E+03     0.998980311E+00     0.867501132E+00
     0.118347300E+01      8     0.470449935E+00     0.675275043E+03     0.998760965E+00     0.841498549E+00
     0.119764800E+01      8     0.457920954E+00     0.660487056E+03     0.998836617E+00     0.843172661E+00
     0.121216600E+01      8     0.439843922E+00     0.635410899E+03     0.998879283E+00     0.855776555E+00
     0.122704000E+01      8     0.424014597E+00     0.641158188E+03     0.998210208E+00     0.822820297E+00
     0.124228400E+01      8     0.427575065E+00     0.616503594E+03     0.998880760E+00     0.839369076E+00
     0.125791100E+01      8     0.434899564E+00     0.646407628E+03     0.998839199E+00     0.826050190E+00
     0.127393700E+01      8     0.445421927E+00     0.646211264E+03     0.998948034E+00     0.857610168E+00
     0.129037600E+01      8     0.457264270E+00     0.657808354E+03     0.998895598E+00     0.862593720E+00
     0.130724500E+01      8     0.479299541E+00     0.680034438E+03     0.998624747E+00     0.856464238E+00
     0.132456100E+01      8     0.488127147E+00     0.724886406E+03     0.998081117E+00     0.838213726E+00
     0.134234200E+01      8     0.503012840E+00     0.727417312E+03     0.997465679E+00     0.869669145E+00
     0.136060700E+01      8     0.503860649E+00     0.721709365E+03     0.996271591E+00     0.877459811E+00
     0.137937600E+01      8     0.497632734E+00     0.735172761E+03     0.992880660E+00     0.847389017E+00
     0.139867000E+01      8     0.492968212E+00     0.711897793E+03     0.986494839E+00     0.857358920E+00
     0.141851100E+01      8     0.481186892E+00     0.703221989E+03     0.976012399E+00     0.852241952E+00
     0.143892300E+01      8     0.459218852E+00     0.660402747E+03     0.973103024E+00     0.867967651E+00
     0.145993200E+01      8     0.435278459E+00     0.636961178E+03     0.972512938E+00     0.854202941E+00
     0.148156300E+01      8     0.423368357E+00     0.635133189E+03     0.974356970E+00     0.829964531E+00
     0.150384400E+01      8     0.411196291E+00     0.633763558E+03     0.981474937E+00     0.823767024E+00
     0.152680700E+01      8     0.407467703E+00     0.621014602E+03     0.986697151E+00     0.850007722E+00
     0.155048100E+01      8     0.416254271E+00     0.625743646E+03     0.989914298E+00     0.854418372E+00
     0.157490100E+01      8     0.438303554E+00     0.667592954E+03     0.991306175E+00     0.825077600E+00
     0.160010200E+01      8     0.461947887E+00     0.700805232E+03     0.993055330E+00     0.837083098E+00
     0.162612400E+01      8     0.480429747E+00     0.721243740E+03     0.994643291E+00     0.860430236E+00
     0.165300500E+01      8     0.494607804E+00     0.730469843E+03     0.995262135E+00     0.871797873E+00
     0.168079100E+01      8     0.502062948E+00     0.742582525E+03     0.995320390E+00     0.857750478E+00
     0.170952700E+01      8     0.501670438E+00     0.760978574E+03     0.994951508E+00     0.843022531E+00
     0.173926200E+01      8     0.483606772E+00     0.753066588E+03     0.989401476E+00     0.845260747E+00
     0.177005000E+01      8     0.470793606E+00     0.702618222E+03     0.993029510E+00     0.861475815E+00
     0.180194800E+01      8     0.441484028E+00     0.660141130E+03     0.991451390E+00     0.848205386E+00
     0.183501700E+01      8     0.419939437E+00     0.645965142E+03     0.989661149E+00     0.822974033E+00
     0.186932200E+01      8     0.406154322E+00     0.631411066E+03     0.967232938E+00     0.830394449E+00
     0.190493500E+01      8     0.411050485E+00     0.622512625E+03     0.914993902E+00     0.845806583E+00
     0.194193100E+01      8     0.428887428E+00     0.618468800E+03     0.897312517E+00     0.855890072E+00
     0.198039200E+01      8     0.436574810E+00     0.638402404E+03     0.920734936E+00     0.849385707E+00
     0.202040800E+01      8     0.466928939E+00     0.708934136E+03     0.945690499E+00     0.845894242E+00
     0.206207500E+01      8     0.485985542E+00     0.738456385E+03     0.969237102E+00     0.867075678E+00
     0.210549600E+01      8     0.498196559E+00     0.764730166E+03     0.979322088E+00     0.881919039E+00
     0.215078600E+01      8     0.501805160E+00     0.794092933E+03     0.980275108E+00     0.865669082E+00
     0.219806800E+01      8     0.497300278E+00     0.769356234E+03     0.984324653E+00     0.877982078E+00
     0.224747500E+01      8     0.462754106E+00     0.742488557E+03     0.981524436E+00     0.861173091E+00
     0.229915400E+01      8     0.426189649E+00     0.711693570E+03     0.975007501E+00     0.839210394E+00
     0.235326700E+01      8     0.365752667E+00     0.629526955E+03     0.966510389E+00     0.858594248E+00
     0.240998800E+01      8     0.325031319E+00     0.584809586E+03     0.949985971E+00     0.853843338E+00
     0.246951200E+01      8     0.358251622E+00     0.599722672E+03     0.924187836E+00     0.852046737E+00
     0.253205100E+01      8     0.456590128E+00     0.680469897E+03     0.912002675E+00     0.858293129E+00
     0.259784100E+01      8     0.564686058E+00     0.796542552E+03     0.916636843E+00     0.880166111E+00
     0.266714100E+01      8     0.578890374E+00     0.740419355E+03     0.790367973E+00     0.899191003E+00
     0.274024000E+01      8     0.717035085E+00     0.702809408E+03     0.520645705E+00     0.971051726E+00
     0.281746000E+01      8     0.782681688E+00     0.682345463E+03     0.490240095E+00     0.974750549E+00
     0.289916000E+01      8     0.757474129E+00     0.688220208E+03     0.504894011E+00     0.957741888E+00
     0.298574000E+01      8     0.742666721E+00     0.697527716E+03     0.511736024E+00     0.947094838E+00
     0.307765200E+01      8     0.735173553E+00     0.704573720E+03     0.512692902E+00     0.943233465E+00
     0.317540300E+01      8     0.730934283E+00     0.709885106E+03     0.510482259E+00     0.943805870E+00
     0.327957000E+01      8     0.716806460E+00     0.732019026E+03     0.540564323E+00     0.937108197E+00
     0.339080500E+01      8     0.590918605E+00     0.723000331E+03     0.628164053E+00     0.900256720E+00
     0.350985200E+01      8     0.354298662E+00     0.629102300E+03     0.736030862E+00     0.838259906E+00
